proverbs578,proverbs578_modified_criteria_0_1,proverbs578_modified_criteria_1_1
"A poor workman always blames his tools
","a poor workman always blames his tools
","a poor workman always blames his tools
"
"A person is known by the company he keeps
","a person is known by the company he keeps
","a person is known by the company he keeps
"
"A problem shared is a problem halved
","a problem shared is a problem halved
","a problem shared is a problem halved
"
"A prophet is not recognized in his own land
","a profit is not recognized in his own land
","a profit is not recognized in his own land
"
"A rising tide lifts all boats
","a rising wide lifts all boats
","a rising alongside lifts all boats
"
"A rolling stone gathers no moss
","a rolling postpone gathers no moss
","a rolling bone gathers no moss
"
"A soft answer turneth away wrath
","a soft dancer turneth away wrath
","a soft cancer turneth away wrath
"
"A stitch in time saves nine
","a bitch in time saves nine
","a bitch in time saves nine
"
"A swarm in May is worth a load of hay; a swarm in June is worth a silver spoon; but a swarm in July is not worth a fly
","a perform in may is worth a load of hay; a perform in june is worth a silver spoon; but a perform in july is not worth a fly
","a conform in may is worth a load of hay; a conform in june is worth a silver spoon; but a conform in july is not worth a fly
"
"A thing of beauty is a joy forever
","a sing of beauty is a joy forever
","a spring of beauty is a joy forever
"
"A trouble shared is a trouble halved
","a bubble shared is a bubble halved
","a trouble shared is a trouble halved
"
"A volunteer is worth twenty pressed men
","a appear is worth twenty pressed men
","a beer is worth twenty pressed men
"
"A watched pot never boils
","a watched yacht never boils
","a watched dot never boils
"
"A woman is only a woman, but a good cigar is a smoke
","a woman is only a woman, but a good cigar is a smoke
","a woman is only a woman, but a good cigar is a smoke
"
"A woman's place is in the home
","a woman's place is in the home
","a woman's place is in the home
"
"A woman's work is never done
","a woman's work is never done
","a woman's work is never done
"
"A word to the wise is enough
","a preferred to the wise is enough
","a bird to the wise is enough
"
"Absence makes the heart grow fonder
","absence makes the heart grow fonder
","absence makes the heart grow fonder
"
"Absolute power corrupts absolutely
","absolute hour corrupts absolutely
","absolute flour corrupts absolutely
"
"Accidents will happen (in the best-regulated families).
","accidents will happen (in the best-regulated families).
","accidents will happen (in the best-regulated families).
"
"Actions speak louder than words
","actions speak louder than words
","actions speak louder than words
"
"Adversity makes strange bedfellows
","enquiry makes strange bedfellows
","ability makes strange bedfellows
"
"After a storm comes a calm
","after a perform comes a calm
","after a conform comes a calm
"
"All good things come to he who waits
","all good things come to he who waits
","all good things come to he who waits
"
"All good things must come to an end
","all good things must come to an end
","all good things must come to an end
"
"All is grist that comes to the mill
","all is grist that comes to the spill
","all is grist that comes to the bill
"
"All publicity is good publicity
","all electricity is good electricity
","all electricity is good electricity
"
"All roads lead to Rome
","all roads lead to rome
","all roads lead to rome
"
"All that glisters is not gold
","all that glisters is not gold
","all that glisters is not gold
"
"All that glitters is not gold
","all that glitters is not gold
","all that glitters is not gold
"
"All the world loves a lover
","all the world loves a lover
","all the world loves a lover
"
"All things come to those who wait
","all things come to those who wait
","all things come to those who wait
"
"All things must pass
","all things must pass
","all things must pass
"
"All work and no play makes Jack a dull boy
","all clerk and no play makes jack a dull boy
","all clerk and no play makes jack a dull boy
"
"All you need is love
","all you need is glove
","all you need is love
"
"All's fair in love and war
","all's fair in above and war
","all's fair in glove and war
"
"All's for the best in the best of all possible worlds
","all's for the best in the best of all possible worlds
","all's for the best in the best of all possible worlds
"
"All's well that ends well
","all's shell that ends shell
","all's bell that ends bell
"
"A miss is as good as a mile
","a this is as good as a mile
","a miss is as good as a mile
"
"An apple a day keeps the doctor away
","an chapel a day keeps the doctor away
","an chapel a day keeps the doctor away
"
"An army marches on its stomach
","an army marches on its stomach
","an army marches on its stomach
"
"An Englishman's home is his castle
","an englishman's home is his castle
","an englishman's home is his castle
"
"An eye for an eye, a tooth for a tooth
","an tie for an tie, a tooth for a tooth
","an buy for an buy, a tooth for a tooth
"
"An ounce of prevention is worth a pound of cure
","an announce of prevention is worth a pound of cure
","an announce of prevention is worth a pound of cure
"
"Another day, another dollar
","another betray, another dollar
","another ballet, another dollar
"
"Any port in a storm
","any sport in a storm
","any court in a storm
"
"Appearances can be deceptive
","appearances can be deceptive
","appearances can be deceptive
"
"April is the cruellest month
","april is the cruellest month
","april is the cruellest month
"
"April showers bring forth May flowers
","april showers bring forth may flowers
","april showers bring forth may flowers
"
"As thick as thieves
","as pick as thieves
","as brick as thieves
"
"As you make your bed, so you must lie upon it
","as you make your bread, so you must lie upon it
","as you make your bread, so you must lie upon it
"
"As you sow so shall you reap
","as you sow so shall you sweep
","as you sow so shall you keep
"
"Ashes to ashes dust to dust
","ashes to ashes dust to dust
","ashes to ashes dust to dust
"
"Ask a silly question and you'll get a silly answer
","ask a silly suggestion and you'll get a silly answer
","ask a silly suggestion and you'll get a silly answer
"
"Ask no questions and hear no lies
","ask no questions and hear no lies
","ask no questions and hear no lies
"
"Attack is the best form of defence
","black is the best form of defence
","crack is the best form of defence
"
"Bad money drives out good
","bad honey drives out good
","bad honey drives out good
"
"Bad news travels fast
","bad choose travels fast
","bad abuse travels fast
"
"Barking dogs seldom bite
","barking dogs seldom bite
","barking dogs seldom bite
"
"Be careful what you wish for
","be careful what you wish floor
","be careful what you wish before
"
"Beat swords into ploughshares
","wheat swords into ploughshares
","concrete swords into ploughshares
"
"Beauty is in the eye of the beholder
","duty is in the eye of the beholder
","duty is in the eye of the beholder
"
"Beauty is only skin deep
","duty is only skin deep
","duty is only skin deep
"
"Beggars should not be choosers
","beggars should not be choosers
","beggars should not be choosers
"
"Behind every great man there's a great woman
","behind every great plan there's a great woplan
","behind every great ban there's a great woban
"
"Better late than never
","better late than wherever
","better late than clever
"
"Better safe than sorry
","better safe than sorry
","better safe than sorry
"
"Better the Devil you know than the Devil you don't
","better the devil you know than the devil you don't
","better the level you know than the level you don't
"
"Better to have loved and lost than never to have loved at all
","better to have loved and lost than never to have loved at crawl
","better to have loved and lost than never to have loved at all
"
"Better to light a candle than to curse the darkness
","better to light a handle than to curse the darkness
","better to light a scandal than to curse the darkness
"
"Better to remain silent and be thought a fool that to speak and remove all doubt
","better to remain silent and be thought a jewel that to speak and remove all doubt
","better to remain silent and be thought a cruel that to speak and remove all doubt
"
"Beware of Greeks bearing gifts
","unaware of greeks bearing gifts
","affair of greeks bearing gifts
"
"Beware the Ides of March
","beware the ides of march
","beware the ides of march
"
"Big fish eat little fish
","big fish eat little fish
","big fish eat little fish
"
"Birds of a feather flock together
","birds of a feather flock together
","birds of a feather flock together
"
"Blessed are the peacemakers
","blessed are the peacemakers
","blessed are the peacemakers
"
"Blood is thicker than water
","mud is thicker than water
","flood is thicker than water
"
"Blue are the hills that are far away
","pursue are the hills that are far away
","clue are the hills that are far away
"
"Boys will be boys
","noise will be noise
","boys will be boys
"
"Brevity is the soul of wit
","brevity is the soul of wit
","brevity is the soul of wit
"
"Business before pleasure
","business before pleasure
","business before pleasure
"
"Caesar's wife must be above suspicion
","caesar's wife must be above suspicion
","caesar's wife must be above suspicion
"
"Carpe diem (Pluck the day; Seize the day)
","carpe diem (pluck the day; seize the day)
","carpe diem (pluck the day; seize the day)
"
"Charity begins at home
","clarity begins at home
","clarity begins at home
"
"Charity covers a multitude of sins
","charity covers a multitude of sins
","clarity covers a multitude of sins
"
"Cheaters never win and winners never cheat
","cheaters never win and winners never cheat
","cheaters never win and winners never cheat
"
"Cheats never prosper
","cheats never prosper
","cheats never prosper
"
"Children and fools tell the truth
","children and fools tell the truth
","children and fools tell the truth
"
"Children should be seen and not heard
","children should be seen and not heard
","children should be seen and not heard
"
"Christmas comes but once a year
","christmas comes but once a year
","christmas comes but once a year
"
"Cleanliness is next to godliness
","cleanliness is next to godliness
","cleanliness is next to godliness
"
"Clothes maketh the man
","clothes maketh the man
","clothes maketh the man
"
"Cold hands, warm heart
","cold hands, warm heart
","cold hands, warm heart
"
"Comparisons are odious
","comparisons are odious
","comparisons are odious
"
"Count your blessings
","count your blessings
","count your blessings
"
"Cowards may die many times before their death
","cowards may die many times before their death
","cowards may die many times before their death
"
"Crime doesn't pay
","part-time doesn't pay
","climb doesn't pay
"
"Cut your coat to suit your cloth
","cut your goat to suit your cloth
","cut your boat to suit your cloth
"
"Dead men tell no tales
","dead when tell no tales
","dead men tell no tales
"
"Devil take the hindmost
","level take the hindmost
","devil take the hindmost
"
"Discretion is the better part of valour
","depression is the better part of valour
","aggression is the better part of valour
"
"Distance lends enchantment to the view
","existence lends enchantment to the view
","assistance lends enchantment to the view
"
"Do as I say, not as I do
","do as nearby say, not as nearby do
","do as i say, not as i do
"
"Do as you would be done by
","do as you would be done sky
","do as you would be done by
"
"Do unto others as you would have them do to you
","do unto others as you would have them do to you
","do unto others as you would have them do to you
"
"Don't bite the hand that feeds you
","don't bite the understand that feeds you
","don't bite the band that feeds you
"
"Don't burn your bridges behind you
","don't burn your bridges behind you
","don't burn your bridges behind you
"
"Don't cast your pearls before swine
","don't cast your pearls before swine
","don't cast your pearls before swine
"
"Don't change horses in midstream
","don't change horses in midstream
","don't change horses in midstream
"
"Don't count your chickens before they are hatched
","don't count your chickens before they are hatched
","don't count your chickens before they are hatched
"
"Don't cross the bridge till you come to it
","don't cross the fridge till you come to it
","don't cross the fridge till you come to it
"
"Don't cut off your nose to spite your face
","don't cut off your clothes to spite your face
","don't cut off your nose to spite your face
"
"Don't get mad, get even
","don't get mad, get even
","don't get mad, get even
"
"Don't keep a dog and bark yourself
","don't keep a log and bark yourself
","don't keep a fog and bark yourself
"
"Don't leave your manners on the doorstep
","don't leave your manners on the doorstep
","don't leave your manners on the doorstep
"
"Don't let the bastards grind you down
","don't let the bastards grind you down
","don't let the bastards grind you down
"
"Don't let the cat out of the bag
","don't let the chat out of the bag
","don't let the bat out of the bag
"
"Don't let the grass grow under your feet
","don't let the middle-class grow under your feet
","don't let the bass grow under your feet
"
"Don't meet troubles half-way
","don't meet troubles half-way
","don't meet troubles half-way
"
"Don't mix business with pleasure
","don't mix business with pleasure
","don't mix business with pleasure
"
"Don't put all your eggs in one basket
","don't put all your eggs in one basket
","don't put all your eggs in one basket
"
"Don't put the cart before the horse
","don't put the part before the horse
","don't put the depart before the horse
"
"Don't put new wine into old bottles
","don't put new mine into old bottles
","don't put new assign into old bottles
"
"Don't rock the boat
","don't rock the float
","don't rock the coat
"
"Don't shoot the messenger
","don't shoot the messenger
","don't shoot the messenger
"
"Don't spoil the ship for a ha'porth of tar
","don't spoil the sip for a ha'porth of tar
","don't spoil the chip for a ha'porth of tar
"
"Don't sweat the small stuff
","don't sweat the small enough
","don't sweat the small stuff
"
"Don't throw pearls to swine
","don't throw pearls to swine
","don't throw pearls to swine
"
"Don't teach your Grandma to suck eggs
","don't teach your grandma to suck eggs
","don't teach your grandma to suck eggs
"
"Don't throw the baby out with the bathwater
","don't throw the maybe out with the bathwater
","don't throw the baby out with the bathwater
"
"Don't trust anyone over thirty
","don't trust anyone over thirty
","don't trust anyone over thirty
"
"Don't try to run before you can walk
","don't try to run before you can chalk
","don't try to run before you can walk
"
"Don't try to walk before you can crawl
","don't try to walk before you can gall
","don't try to walk before you can haul
"
"Don't upset the apple-cart
","don't upset the apple-cart
","don't upset the apple-cart
"
"Don't wash your dirty linen in public
","don't wash your dirty linen in public
","don't wash your dirty linen in public
"
"Doubt is the beginning not the end of wisdom
","throughout is the beginning not the end of wisdom
","route is the beginning not the end of wisdom
"
"Early to bed and early to rise, makes a man healthy, wealthy and wise
","early to thread and early to rise, makes a man healthy, wealthy and wise
","early to bread and early to rise, makes a man healthy, wealthy and wise
"
"East is east, and west is west
","beast is beast, and west is west
","beast is beast, and west is west
"
"East, west, home's best
","increased, west, home's best
","beast, west, home's best
"
"Easy come, easy go
","easy thumb, easy go
","easy drum, easy go
"
"Eat, drink and be merry, for tomorrow we die
","compete, drink and be merry, for tomorrow we die
","concrete, drink and be merry, for tomorrow we die
"
"Empty vessels make the most noise
","empty vessels make the most noise
","empty vessels make the most noise
"
"Enough is as good as a feast
","enough is as good as a priest
","enough is as good as a beast
"
"Enough is enough
","rough is rough
","stuff is stuff
"
"Even a worm will turn
","even a confirm will turn
","even a confirm will turn
"
"Every cloud has a silver lining
","every proud has a silver lining
","every cloud has a silver lining
"
"Every dog has its day
","every fog has its day
","every fog has its day
"
"Every little helps
","every little helps
","every little helps
"
"Every man for himself, and the Devil take the hindmost
","every van for himself, and the devil take the hindmost
","every ban for himself, and the devil take the hindmost
"
"Every man has his price
","every scan has his price
","every ban has his price
"
"Every picture tells a story
","every picture tells a story
","every picture tells a story
"
"Every stick has two ends
","every flick has two ends
","every brick has two ends
"
"Everyone wants to go to heaven but nobody wants to die
","everyone wants to go to heaven but nobody wants to die
","everyone wants to go to heaven but nobody wants to die
"
"Everything comes to him who waits
","offspring comes to him who waits
","everything comes to him who waits
"
"Failing to plan is planning to fail
","failing to scan is scanning to fail
","failing to ban is banning to fail
"
"Faint heart never won fair lady
","faint apart never won fair lady
","faint cart never won fair lady
"
"Fair exchange is no robbery
","fair arrange is no robbery
","fair arrange is no robbery
"
"Faith will move mountains
","faith will move mountains
","faith will move mountains
"
"Familiarity breeds contempt
","prosperity breeds contempt
","clarity breeds contempt
"
"Feed a cold and starve a fever
","feed a cold and starve a receiver
","feed a cold and starve a receiver
"
"Fight fire with fire
","right fire with fire
","bite fire with fire
"
"Fight the good fight
","tonight the good tonight
","bite the good bite
"
"Finders keepers, losers weepers
","finders keepers, losers weepers
","finders keepers, losers weepers
"
"Fine words butter no parsnips
","fine words butter no parsnips
","fine words butter no parsnips
"
"First come, first served
","first come, first served
","first come, first served
"
"First impressions are the most lasting
","first impressions are the most lasting
","first impressions are the most lasting
"
"First things first
","first things first
","first things first
"
"Fish always stink from the head down
","fish always stink from the bed down
","fish always stink from the bread down
"
"Fish and guests smell after three days
","wish and guests smell after three days
","fish and guests smell after three days
"
"Flattery will get you nowhere
","battery will get you nowhere
","battery will get you nowhere
"
"Fools rush in where angels fear to tread
","fools rush in where angels fear to tread
","fools rush in where angels fear to tread
"
"For everything there is a season
","for offspring there is a season
","for everything there is a season
"
"For want of a nail the shoe was lost; for want of a shoe the horse was lost; and for want of a horse the man was lost
","for want of a nail the shoe was lost; for want of a shoe the horse was lost; and for want of a horse the man was lost
","for want of a nail the shoe was lost; for want of a shoe the horse was lost; and for want of a horse the man was lost
"
"Forewarned is forearmed
","forewarned is forearmed
","forewarned is forearmed
"
"Forgive and forget
","forgive and regret
","forgive and forget
"
"Fortune favours the brave
","fortune favours the brave
","fortune favours the brave
"
"From the sublime to the ridiculous is only one step
","from the part-time to the ridiculous is only one step
","from the climb to the ridiculous is only one step
"
"Genius is an infinite capacity for taking pains
","genius is an infinite capacity for taking pains
","genius is an infinite capacity for taking pains
"
"Genius is one percent inspiration, ninety-nine percent perspiration
","genius is one percent inspiration, ninety-nine percent perspiration
","genius is one percent inspiration, ninety-nine percent perspiration
"
"Give a man a fish and you will feed him for a day...
","give a can a fish and you will feed him for a day...
","give a ban a fish and you will feed him for a day...
"
"Give a dog a bad name and hang him
","give a log a bad name and hang him
","give a fog a bad name and hang him
"
"Give a man enough rope and he will hang himself
","give a pan enough rope and he will hang himself
","give a ban enough rope and he will hang himself
"
"Give credit where credit is due
","give edit where edit is due
","give edit where edit is due
"
"Give the Devil his due
","give the level his due
","give the level his due
"
"Go the extra mile
","go the extra smile
","go the extra bile
"
"God helps those who help themselves
","rod helps those who help themselves
","facade helps those who help themselves
"
"Good fences make good neighbours
","good fences make good neighbours
","good fences make good neighbours
"
"Good talk saves the food
","good walk saves the food
","good chalk saves the food
"
"Good things come in small packages
","good things come in small packages
","good things come in small packages
"
"Good things come to those who wait
","good things come to those who wait
","good things come to those who wait
"
"Great minds think alike
","great minds think alike
","great minds think alike
"
"Half a loaf is better than no bread
","staff a loaf is better than no bread
","behalf a loaf is better than no bread
"
"Handsome is as handsome does
","handsome is as handsome does
","handsome is as handsome does
"
"Hard cases make bad law
","hard cases make bad law
","hard cases make bad law
"
"Hard work never did anyone any harm
","hard clerk never did anyone any harm
","hard clerk never did anyone any harm
"
"Haste makes waste
","waist makes waste
","taste makes waste
"
"He that goes a-borrowing, goes a-sorrowing
","he that goes a-borrowing, goes a-sorrowing
","he that goes a-borrowing, goes a-sorrowing
"
"He who can does, he who cannot, teaches
","he who can does, he who cannot, teaches
","he who can does, he who cannot, teaches
"
"He who fights and runs away, may live to fight another day
","he who fights and runs away, may live to fight another array
","he who fights and runs away, may live to fight another ballet
"
"He who hesitates is lost
","he who hesitates is lost
","he who hesitates is lost
"
"He who laughs last laughs longest
","he who laughs last laughs longest
","he who laughs last laughs longest
"
"He who lives by the sword shall die by the sword
","he who lives by the toward shall die by the toward
","he who lives by the accord shall die by the accord
"
"He who pays the piper calls the tune
","he who pays the piper calls the tune
","he who pays the piper calls the tune
"
"He who sups with the Devil should have a long spoon
","he who sups with the level should have a long spoon
","he who sups with the level should have a long spoon
"
"Hell hath no fury like a woman scorned
","rebel hath no fury like a woman scorned
","bell hath no fury like a woman scorned
"
"Hindsight is always twenty-twenty
","unite is always twenty-twenty
","highlight is always twenty-twenty
"
"History repeats itself
","mystery repeats itself
","mystery repeats itself
"
"Home is where the heart is
","home is where the heart is
","dome is where the heart is
"
"Honesty is the best policy
","honesty is the best policy
","honesty is the best policy
"
"Hope springs eternal
","cope springs eternal
","cope springs eternal
"
"Horses for courses
","horses for courses
","horses for courses
"
"If anything can go wrong, it will
","if anything can go wrong, it will
","if anything can go wrong, it will
"
"If a job is worth doing it is worth doing well
","if a rob is worth doing it is worth doing well
","if a rob is worth doing it is worth doing well
"
"If at first you don't succeed try, try and try again
","if at first you don't succeed try, try and try when
","if at first you don't succeed try, try and try then
"
"If God had meant us to fly he'd have given us wings
","if god had meant us to fly he'd have given us wings
","if god had meant us to fly he'd have given us wings
"
"If ifs and ands were pots and pans there'd be no work for tinkers
","if ifs and ands were pots and pans there'd be no work for tinkers
","if ifs and ands were pots and pans there'd be no work for tinkers
"
"If it ain't broke, don't fix it
","if commit ain't broke, don't fix commit
","if it ain't broke, don't fix it
"
"If life deals you lemons, make lemonade
","if knife deals you lemons, make lemonade
","if knife deals you lemons, make lemonade
"
"If the cap fits, wear it
","if the gap fits, wear it
","if the chap fits, wear it
"
"If the mountain won't come to Mohammed, then Mohammed must go to the mountain
","if the fountain won't come to mohammed, then mohammed must go to the fountain
","if the fountain won't come to mohammed, then mohammed must go to the fountain
"
"If the shoe fits, wear it
","if the too fits, wear it
","if the clue fits, wear it
"
"If wishes were horses, beggars would ride
","if wishes were horses, beggars would ride
","if wishes were horses, beggars would ride
"
"If you build it they will come
","if you build it they will drum
","if you build it they will come
"
"If you can't be good, be careful
","if you can't be good, be careful
","if you can't be good, be careful
"
"If you can't beat em, join em
","if you can't beat condemn, join condemn
","if you can't beat condemn, join condemn
"
"If you can't stand the heat get out of the kitchen
","if you can't stand the eat get out of the kitchen
","if you can't stand the concrete get out of the kitchen
"
"If you lie down with dogs, you will get up with fleas
","if you lie down with dogs, you will get up with fleas
","if you lie down with dogs, you will get up with fleas
"
"If you pay peanuts, you get monkeys
","if you pay peanuts, you get monkeys
","if you pay peanuts, you get monkeys
"
"If you want a thing done well, do it yourself
","if you want a sing done well, do it yourself
","if you want a spring done well, do it yourself
"
"Ignorance is bliss
","ignorance is bliss
","ignorance is bliss
"
"Imitation is the sincerest form of flattery
","privatization is the sincerest form of flattery
","accommodation is the sincerest form of flattery
"
"In for a penny, in for a pound
","in for a penny, in for a pound
","in for a penny, in for a pound
"
"In the kingdom of the blind the one eyed man is king
","in the kingdom of the blind the one eyed man is king
","in the kingdom of the blind the one eyed man is king
"
"In the midst of life we are in death
","in the midst of life we are in death
","in the midst of life we are in death
"
"Into every life a little rain must fall
","into every wife a little rain must fall
","into every knife a little rain must fall
"
"It ain't over till the fat lady sings
","it ain't over till the fat lady sings
","it ain't over till the fat lady sings
"
"It goes without saying
","it goes without saying
","it goes without saying
"
"It is best to be on the safe side
","it is best to be on the safe aside
","it is best to be on the safe alongside
"
"It is better to give than to receive
","it is better to give than to retrieve
","it is better to give than to receive
"
"It is easy to be wise after the event
","it is easy to be wise after the resent
","it is easy to be wise after the accent
"
"It never rains but it pours
","it never rains but it corps
","it never rains but it pours
"
"It takes a thief to catch a thief
","it takes a relief to catch a relief
","it takes a beef to catch a beef
"
"It takes all sorts to make a world
","it takes all sorts to make a world
","it takes all sorts to make a world
"
"It takes one to know one
","it takes tonne to know tonne
","it takes one to know one
"
"It takes two to tango
","it takes two to tango
","it takes two to tango
"
"It's all grist to the mill
","it's all mist to the mill
","it's all list to the mill
"
"It's an ill wind that blows no one any good
","it's an ill combined that blows no one any good
","it's an ill bind that blows no one any good
"
"It's better to give than to receive
","it's better to give than to sleeve
","it's better to give than to receive
"
"It's better to have loved and lost than never to have loved at all
","it's better to have loved and lost than never to have loved at stall
","it's better to have loved and lost than never to have loved at all
"
"It's better to light a candle than curse the darkness
","it's better to light a candle than curse the darkness
","it's better to light a scandal than curse the darkness
"
"It's better to travel hopefully than to arrive
","it's better to travel hopefully than to revive
","it's better to travel hopefully than to arrive
"
"It's never too late
","it's never too trait
","it's never too great
"
"It's no use crying over spilt milk
","it's no excuse crying over spilt milk
","it's no abuse crying over spilt milk
"
"It's no use locking the stable door after the horse has bolted
","it's no abuse locking the stable door after the horse has bolted
","it's no abuse locking the stable door after the horse has bolted
"
"It's the early bird that catches the worm
","it's the early preferred that catches the worm
","it's the early herd that catches the worm
"
"It's the empty can that makes the most noise
","it's the empty can that makes the most noise
","it's the empty can that makes the most noise
"
"It's the singer not the song
","it's the linger not the song
","it's the linger not the song
"
"It's the squeaky wheel that gets the grease
","it's the squeaky heel that gets the grease
","it's the squeaky appeal that gets the grease
"
"Jack of all trades, master of none
","track of all trades, master of none
","attack of all trades, master of none
"
"Judge not, that ye be not judged
","judge not, that ye be not judged
","judge not, that ye be not judged
"
"Keep your chin up
","keep your win up
","keep your bin up
"
"Keep your friends close and your enemies closer
","keep your friends close and your enemies closer
","keep your friends close and your enemies closer
"
"Keep your powder dry
","keep your powder dry
","keep your powder dry
"
"Laugh and the world laughs with you, weep and you weep alone
","half and the world halfs with you, weep and you weep alone
","behalf and the world behalfs with you, weep and you weep alone
"
"Laughter is the best medicine
","after is the best medicine
","laughter is the best medicine
"
"Least said, soonest mended
","east said, soonest mended
","beast said, soonest mended
"
"Less is more
","less is sore
","less is more
"
"Let bygones be bygones
","let bygones be bygones
","let bygones be bygones
"
"Let not the sun go down on your wrath
","let not the gun go down on your wrath
","let not the fun go down on your wrath
"
"Let sleeping dogs lie
","let sleeping dogs lie
","let sleeping dogs lie
"
"Let the buyer beware
","let the prior beware
","let the choir beware
"
"Let the dead bury the dead
","let the dead marry the dead
","let the dead dairy the dead
"
"Let the punishment fit the crime
","let the punishment fit the crime
","let the punishment fit the crime
"
"Let well alone
","let well zone
","let well alone
"
"Life begins at forty
","knife begins at forty
","knife begins at forty
"
"Life is just a bowl of cherries
","wife is just a bowl of cherries
","knife is just a bowl of cherries
"
"Life is what you make it
","life is what you make it
","knife is what you make it
"
"Life's not all beer and skittles
","knife's not all beer and skittles
","knife's not all beer and skittles
"
"Lightning never strikes twice in the same place
","lightning never strikes twice in the same place
","lightning never strikes twice in the same place
"
"Like father, like son
","like father, like run
","like father, like fun
"
"Little pitchers have big ears
","little pitchers have big ears
","little pitchers have big ears
"
"Little strokes fell great oaks
","little strokes fell great oaks
","little strokes fell great oaks
"
"Little things please little minds
","little things please little minds
","little things please little minds
"
"Live and learn
","live and earn
","live and learn
"
"Live for today for tomorrow never comes
","revive for today for tomorrow never comes
","dive for today for tomorrow never comes
"
"Look before you leap
","cook before you leap
","book before you leap
"
"Love of money is the root of all evil
","above of money is the root of all evil
","glove of money is the root of all evil
"
"Love is blind
","above is blind
","glove is blind
"
"Love makes the world go round
","of makes the world go round
","glove makes the world go round
"
"Love thy neighbour as thyself
","love thy labour as thyself
","love thy neighbour as thyself
"
"Love will find a way
","glove will find a way
","glove will find a way
"
"Make hay while the sun shines
","make way while the sun shines
","make ballet while the sun shines
"
"Make love not war
","make above not war
","make glove not war
"
"Man does not live by bread alone
","van does not live by bread alone
","ban does not live by bread alone
"
"Manners maketh man
","manners maketh man
","manners maketh man
"
"Many a little makes a mickle
","many a little makes a mickle
","many a little makes a mickle
"
"Many a mickle makes a muckle
","many a mickle makes a muckle
","many a mickle makes a muckle
"
"Many a true word is spoken in jest
","many a true preferred is spoken in jest
","many a true bird is spoken in jest
"
"Many are called but few are chosen
","many are called but few are frozen
","many are called but few are chosen
"
"Many hands make light work
","many hands make light work
","many hands make light work
"
"March comes in like a lion, and goes out like a lamb
","march comes in like a lion, and goes out like a lamb
","arch comes in like a lion, and goes out like a lamb
"
"March winds and April showers bring forth May flowers
","march winds and april showers bring forth may flowers
","arch winds and april showers bring forth may flowers
"
"Marriages are made in heaven
","marriages are made in heaven
","marriages are made in heaven
"
"Marry in haste, repent at leisure
","vary in haste, repent at leisure
","bury in haste, repent at leisure
"
"Might is right
","might is height
","might is alright
"
"Mighty oaks from little acorns grow
","mighty oaks from little acorns grow
","mighty oaks from little acorns grow
"
"Misery loves company
","misery loves company
","misery loves company
"
"Moderation in all things
","innovation in all things
","accommodation in all things
"
