proverbs680,proverbs680_modified_criteria_0,proverbs680_modified_criteria_1
"A swarm in May is worth a load of hay; a swarm in June is worth a silver spoon; but a swarm in July is not worth a fly
","a misinform in may is worth a load of hay; a misinform in june is worth a silver spoon; but a misinform in july is not worth a fly
","a conform in may is worth a load of hay; a conform in june is worth a silver spoon; but a conform in july is not worth a fly
"
"A thing of beauty is a joy forever
","a ying of beauty is a joy forever
","a chang-ming of beauty is a joy forever
"
"A trouble shared is a trouble halved
","a bubble shared is a bubble halved
","a hubbell shared is a hubbell halved
"
"A volunteer is worth twenty pressed men
","a premier is worth twenty pressed men
","a amir is worth twenty pressed men
"
"A watched pot never boils
","a watched slott never boils
","a watched abott never boils
"
"A woman is only a woman, but a good cigar is a smoke
","a trueman is only a trueman, but a good cigar is a smoke
","a trueman is only a trueman, but a good cigar is a smoke
"
"A woman's place is in the home
","a trueman's place is in the home
","a trueman's place is in the home
"
"A woman's work is never done
","a trueman's work is never done
","a trueman's work is never done
"
"A word to the wise is enough
","a bird to the wise is enough
","a bird to the wise is enough
"
"Absence makes the heart grow fonder
","absence makes the heart grow fonder
","absence makes the heart grow fonder
"
"Absolute power corrupts absolutely
","absolute schauer corrupts absolutely
","absolute auer corrupts absolutely
"
"Accidents will happen (in the best-regulated families).
","accident's will happen (in the best-regulated families).
","accident's will happen (in the best-regulated families).
"
"Actions speak louder than words
","distractions speak louder than words
","abstractions speak louder than words
"
"Adversity makes strange bedfellows
","razaleigh makes strange bedfellows
","ability makes strange bedfellows
"
"After a storm comes a calm
","after a deform comes a calm
","after a conform comes a calm
"
"All good things come to he who waits
","all good kings come to he who waits
","all good brings come to he who waits
"
"All good things must come to an end
","all good ring's must come to an end
","all good brings must come to an end
"
"All is grist that comes to the mill
","all is grist that comes to the deville
","all is grist that comes to the abril
"
"All publicity is good publicity
","all simplicity is good simplicity
","all analyticity is good analyticity
"
"All roads lead to Rome
","all c-codes lead to rome
","all bodes lead to rome
"
"All that glisters is not gold
","all that glisters is not gold
","all that glisters is not gold
"
"All that glitters is not gold
","all that witters is not gold
","all that bitters is not gold
"
"All the world loves a lover
","all the curled loves a lover
","all the neworld loves a lover
"
"All things come to those who wait
","all krings come to those who wait
","all brings come to those who wait
"
"All things must pass
","all dings must pass
","all brings must pass
"
"All work and no play makes Jack a dull boy
","all irk and no play makes jack a dull boy
","all berch and no play makes jack a dull boy
"
"All you need is love
","all you need is gov
","all you need is dove
"
"All's fair in love and war
","all's fair in deneuve and war
","all's fair in belove and war
"
"All's for the best in the best of all possible worlds
","all's for the best in the best of all possible world's
","all's for the best in the best of all possible world's
"
"All's well that ends well
","all's bodell that ends bodell
","all's accel that ends accel
"
"A miss is as good as a mile
","a biss is as good as a mile
","a abyss is as good as a mile
"
"An apple a day keeps the doctor away
","an appel a day keeps the doctor away
","an chapel a day keeps the doctor away
"
"An army marches on its stomach
","an armey marches on its stomach
","an carmy marches on its stomach
"
"An Englishman's home is his castle
","an chinese-englishman's home is his castle
","an chinese-englishman's home is his castle
"
"An eye for an eye, a tooth for a tooth
","an shy for an shy, a tooth for a tooth
","an ai for an ai, a tooth for a tooth
"
"An ounce of prevention is worth a pound of cure
","an mounce of prevention is worth a pound of cure
","an announce of prevention is worth a pound of cure
"
"Another day, another dollar
","another liberte, another dollar
","another a., another dollar
"
"Any port in a storm
","any foret in a storm
","any abort in a storm
"
"Appearances can be deceptive
","appearances can be deceptive
","appearances can be deceptive
"
"April is the cruellest month
","april is the cruellest month
","april is the cruellest month
"
"April showers bring forth May flowers
","april bauers bring forth may flowers
","april bauers bring forth may flowers
"
"As thick as thieves
","as prick as thieves
","as afflik as thieves
"
"As you make your bed, so you must lie upon it
","as you make your stead, so you must lie upon it
","as you make your behead, so you must lie upon it
"
"As you sow so shall you reap
","as you sow so shall you seep
","as you sow so shall you keep
"
"Ashes to ashes dust to dust
","thrashes to thrashes dust to dust
","bashes to bashes dust to dust
"
"Ask a silly question and you'll get a silly answer
","ask a silly congestion and you'll get a silly answer
","ask a silly congestion and you'll get a silly answer
"
"Ask no questions and hear no lies
","ask no suggestions and hear no lies
","ask no suggestions and hear no lies
"
"Attack is the best form of defence
","paque is the best form of defence
","ack is the best form of defence
"
"Bad money drives out good
","bad bunnie drives out good
","bad bunney drives out good
"
"Bad news travels fast
","bad queues travels fast
","bad abuse travels fast
"
"Barking dogs seldom bite
","barking togs seldom bite
","barking bogs seldom bite
"
"Be careful what you wish for
","be careful what you wish flore
","be careful what you wish adore
"
"Beat swords into ploughshares
","discrete swords into ploughshares
","amit swords into ploughshares
"
"Beauty is in the eye of the beholder
","hootie is in the eye of the beholder
","benvenuti is in the eye of the beholder
"
"Beauty is only skin deep
","bootie is only skin deep
","benvenuti is only skin deep
"
"Beggars should not be choosers
","jaegers should not be choosers
","eggers should not be choosers
"
"Behind every great man there's a great woman
","behind every great dianne there's a great wodianne
","behind every great ane there's a great woane
"
"Better late than never
","better late than grever
","better late than bever
"
"Better safe than sorry
","better safe than kuranari
","better safe than abare
"
"Better the Devil you know than the Devil you don't
","better the bevil you know than the bevil you don't
","better the bedevil you know than the bedevil you don't
"
"Better to have loved and lost than never to have loved at all
","better to have loved and lost than never to have loved at recall
","better to have loved and lost than never to have loved at engwall
"
"Better to light a candle than to curse the darkness
","better to light a crandall than to curse the darkness
","better to light a andel than to curse the darkness
"
"Better to remain silent and be thought a fool that to speak and remove all doubt
","better to remain silent and be thought a yuille that to speak and remove all doubt
","better to remain silent and be thought a apostolopoul that to speak and remove all doubt
"
"Beware of Greeks bearing gifts
","beaufrere of greeks bearing gifts
","abair of greeks bearing gifts
"
"Beware the Ides of March
","beware the ides of march
","beware the ides of march
"
"Big fish eat little fish
","big mish eat little mish
","big bisch eat little bisch
"
"Birds of a feather flock together
","twothirds of a feather flock together
","gerdes of a feather flock together
"
"Blessed are the peacemakers
","blessed are the printmakers
","blessed are the automakers
"
"Blood is thicker than water
","uhde is thicker than water
","bud is thicker than water
"
"Blue are the hills that are far away
","ru are the hills that are far away
","abou are the hills that are far away
"
"Boys will be boys
","enjoys will be enjoys
","aloys will be aloys
"
"Brevity is the soul of wit
","longevity is the soul of wit
","longevity is the soul of wit
"
"Business before pleasure
","non-business before pleasure
","nonbusiness before pleasure
"
"Caesar's wife must be above suspicion
","pleaser's wife must be above suspicion
","beazer's wife must be above suspicion
"
"Carpe diem (Pluck the day; Seize the day)
","carpe diem (pluck the day; seize the day)
","carpe diem (pluck the day; seize the day)
"
"Charity begins at home
","rarity begins at home
","asperity begins at home
"
"Charity covers a multitude of sins
","vulgarity covers a multitude of sins
","asperity covers a multitude of sins
"
"Cheaters never win and winners never cheat
","mcfeeters never win and winners never cheat
","beaters never win and winners never cheat
"
"Cheats never prosper
","tietz never prosper
","backseats never prosper
"
"Children and fools tell the truth
","stepchildren and fools tell the truth
","stepchildren and fools tell the truth
"
"Children should be seen and not heard
","stepchildren should be seen and not heard
","stepchildren should be seen and not heard
"
"Christmas comes but once a year
","isthmus comes but once a year
","christmas' comes but once a year
"
"Cleanliness is next to godliness
","cleanliness is next to godliness
","cleanliness is next to godliness
"
"Clothes maketh the man
","oaths maketh the man
","oaths maketh the man
"
"Cold hands, warm heart
","cold meadowlands, warm heart
","cold ands, warm heart
"
"Comparisons are odious
","saracens are odious
","saracens are odious
"
"Count your blessings
","count your dressings
","count your dressings
"
"Cowards may die many times before their death
","coward's may die many times before their death
","howard's may die many times before their death
"
"Crime doesn't pay
","time doesn't pay
","anticrime doesn't pay
"
"Cut your coat to suit your cloth
","cut your pote to suit your cloth
","cut your afloat to suit your cloth
"
"Dead men tell no tales
","dead magten tell no tales
","dead (paren tell no tales
"
"Devil take the hindmost
","bevil take the hindmost
","revel take the hindmost
"
"Discretion is the better part of valour
","progression is the better part of valour
","accession is the better part of valour
"
"Distance lends enchantment to the view
","outdistance lends enchantment to the view
","assistance lends enchantment to the view
"
"Do as I say, not as I do
","do as nankai say, not as nankai do
","do as nye say, not as nye do
"
"Do as you would be done by
","do as you would be done dai
","do as you would be done bye
"
"Do unto others as you would have them do to you
","do unto others' as you would have them do to you
","do unto brothers as you would have them do to you
"
"Don't bite the hand that feeds you
","don't bite the demand that feeds you
","don't bite the band that feeds you
"
"Don't burn your bridges behind you
","don't burn your ijaz behind you
","don't burn your abridges behind you
"
"Don't cast your pearls before swine
","don't cast your girls' before swine
","don't cast your berles before swine
"
"Don't change horses in midstream
","don't change horse's in midstream
","don't change courses in midstream
"
"Don't count your chickens before they are hatched
","don't count your pickens before they are hatched
","don't count your hichens before they are hatched
"
"Don't cross the bridge till you come to it
","don't cross the fridge till you come to it
","don't cross the abridge till you come to it
"
"Don't cut off your nose to spite your face
","don't cut off your o's to spite your face
","don't cut off your boase to spite your face
"
"Don't get mad, get even
","don't get mad, get beavin
","don't get mad, get beavin
"
"Don't keep a dog and bark yourself
","don't keep a log and bark yourself
","don't keep a blog and bark yourself
"
"Don't leave your manners on the doorstep
","don't leave your hanners on the doorstep
","don't leave your banners on the doorstep
"
"Don't let the bastards grind you down
","don't let the bastard's grind you down
","don't let the bastard's grind you down
"
"Don't let the cat out of the bag
","don't let the sarratt out of the bag
","don't let the arnatt out of the bag
"
"Don't let the grass grow under your feet
","don't let the jass grow under your feet
","don't let the amass grow under your feet
"
"Don't meet troubles half-way
","don't meet hubble's half-way
","don't meet bubbles half-way
"
"Don't mix business with pleasure
","don't mix business' with pleasure
","don't mix nonbusiness with pleasure
"
"Don't put all your eggs in one basket
","don't put all your legs in one basket
","don't put all your beggs in one basket
"
"Don't put the cart before the horse
","don't put the descartes before the horse
","don't put the bossart before the horse
"
"Don't put new wine into old bottles
","don't put new mine into old bottles
","don't put new align into old bottles
"
"Don't rock the boat
","don't rock the rote
","don't rock the afloat
"
"Don't shoot the messenger
","don't shoot the messenger
","don't shoot the messenger
"
"Don't spoil the ship for a ha'porth of tar
","don't spoil the gyp for a ha'porth of tar
","don't spoil the bip for a ha'porth of tar
"
"Don't sweat the small stuff
","don't sweat the small macduff
","don't sweat the small acuff
"
"Don't throw pearls to swine
","don't throw sirles to swine
","don't throw berles to swine
"
"Don't teach your Grandma to suck eggs
","don't teach your grandma to suck eggs
","don't teach your grandma to suck eggs
"
"Don't throw the baby out with the bathwater
","don't throw the slaby out with the bathwater
","don't throw the achebe out with the bathwater
"
"Don't trust anyone over thirty
","don't trust greenspun over thirty
","don't trust blowgun over thirty
"
"Don't try to run before you can walk
","don't try to run before you can talk
","don't try to run before you can zwack
"
"Don't try to walk before you can crawl
","don't try to walk before you can faull
","don't try to walk before you can haul
"
"Don't upset the apple-cart
","don't upset the apple-cart
","don't upset the apple-cart
"
"Don't wash your dirty linen in public
","don't wash your dirty quinon in public
","don't wash your dirty chinen in public
"
"Doubt is the beginning not the end of wisdom
","route is the beginning not the end of wisdom
","all-out is the beginning not the end of wisdom
"
"Early to bed and early to rise, makes a man healthy, wealthy and wise
","early to biomed and early to rise, makes a man healthy, wealthy and wise
","early to behead and early to rise, makes a man healthy, wealthy and wise
"
"East is east, and west is west
","depriest is depriest, and west is west
","bankeast is bankeast, and west is west
"
"East, west, home's best
","teast, west, home's best
","bankeast, west, home's best
"
"Easy come, easy go
","easy krumme, easy go
","easy alum, easy go
"
"Eat, drink and be merry, for tomorrow we die
","meat, drink and be merry, for tomorrow we die
","amit, drink and be merry, for tomorrow we die
"
"Empty vessels make the most noise
","empty wessels make the most noise
","empty decelles make the most noise
"
"Enough is as good as a feast
","enough is as good as a teast
","enough is as good as a bankeast
"
"Enough is enough
","leboeuf is leboeuf
","acuff is acuff
"
"Even a worm will turn
","even a sperm will turn
","even a berm will turn
"
"Every cloud has a silver lining
","every endowed has a silver lining
","every abboud has a silver lining
"
"Every dog has its day
","every acog has its day
","every blog has its day
"
"Every little helps
","every little phelps
","every little felps
"
"Every man for himself, and the Devil take the hindmost
","every san-fran for himself, and the devil take the hindmost
","every ane for himself, and the devil take the hindmost
"
"Every man has his price
","every jan. has his price
","every ane has his price
"
"Every picture tells a story
","every stricture tells a story
","every stricture tells a story
"
"Every stick has two ends
","every nic has two ends
","every afflik has two ends
"
"Everyone wants to go to heaven but nobody wants to die
","shimbun wants to go to heaven but nobody wants to die
","anyone wants to go to heaven but nobody wants to die
"
"Everything comes to him who waits
","staggering comes to him who waits
","anything comes to him who waits
"
"Failing to plan is planning to fail
","failing to jann is jannning to fail
","failing to ane is anening to fail
"
"Faint heart never won fair lady
","faint mccart never won fair lady
","faint bossart never won fair lady
"
"Fair exchange is no robbery
","fair prange is no robbery
","fair ainge is no robbery
"
"Faith will move mountains
","haith will move mountains
","haith will move mountains
"
"Familiarity breeds contempt
","celerity breeds contempt
","barbarity breeds contempt
"
"Feed a cold and starve a fever
","feed a cold and starve a wever
","feed a cold and starve a cleaver
"
"Fight fire with fire
","overwrite fire with fire
","beit fire with fire
"
"Fight the good fight
","tonite the good tonite
","beit the good beit
"
"Finders keepers, losers weepers
","meinders keepers, losers weepers
","binders keepers, losers weepers
"
"Fine words butter no parsnips
","fine nerds butter no parsnips
","fine birds butter no parsnips
"
"First come, first served
","first come, first reserved
","first come, first curved
"
"First impressions are the most lasting
","first sessions are the most lasting
","first aggressions are the most lasting
"
"First things first
","first wings first
","first brings first
"
"Fish always stink from the head down
","fish always stink from the shead down
","fish always stink from the behead down
"
"Fish and guests smell after three days
","lish and guests smell after three days
","bisch and guests smell after three days
"
"Flattery will get you nowhere
","hattery will get you nowhere
","battery will get you nowhere
"
"Fools rush in where angels fear to tread
","fool's rush in where angels fear to tread
","cools rush in where angels fear to tread
"
"For everything there is a season
","for leftwing there is a season
","for anything there is a season
"
"For want of a nail the shoe was lost; for want of a shoe the horse was lost; and for want of a horse the man was lost
","for cheuvront of a nail the shoe was lost; for cheuvront of a shoe the horse was lost; and for cheuvront of a horse the man was lost
","for bankvermont of a nail the shoe was lost; for bankvermont of a shoe the horse was lost; and for bankvermont of a horse the man was lost
"
"Forewarned is forearmed
","forewarned is forearmed
","forewarned is forearmed
"
"Forgive and forget
","forgive and beaudet
","forgive and yvette
"
"Fortune favours the brave
","misfortune favours the brave
","misfortune favours the brave
"
"From the sublime to the ridiculous is only one step
","from the kime to the ridiculous is only one step
","from the anticrime to the ridiculous is only one step
"
"Genius is an infinite capacity for taking pains
","ingenious is an infinite capacity for taking pains
","ingenious is an infinite capacity for taking pains
"
"Genius is one percent inspiration, ninety-nine percent perspiration
","ingenious is one percent inspiration, ninety-nine percent perspiration
","ingenious is one percent inspiration, ninety-nine percent perspiration
"
"Give a man a fish and you will feed him for a day...
","give a outman a fish and you will feed him for a day...
","give a ane a fish and you will feed him for a day...
"
"Give a dog a bad name and hang him
","give a haug a bad name and hang him
","give a blog a bad name and hang him
"
"Give a man enough rope and he will hang himself
","give a mcan enough rope and he will hang himself
","give a ane enough rope and he will hang himself
"
"Give credit where credit is due
","give discredit where discredit is due
","give discredit where discredit is due
"
"Give the Devil his due
","give the devoll his due
","give the bedevil his due
"
"Go the extra mile
","go the extra while
","go the extra aisle
"
"God helps those who help themselves
","plod helps those who help themselves
","awad helps those who help themselves
"
"Good fences make good neighbours
","good pretenses make good neighbours
","good expenses make good neighbours
"
"Good talk saves the food
","good medoc saves the food
","good balk saves the food
"
"Good things come in small packages
","good brings come in small packages
","good brings come in small packages
"
"Good things come to those who wait
","good wings come to those who wait
","good brings come to those who wait
"
"Great minds think alike
","great reminds think alike
","great behinds think alike
"
"Half a loaf is better than no bread
","assaf a loaf is better than no bread
","behalf a loaf is better than no bread
"
"Handsome is as handsome does
","sansom is as sansom does
","bransom is as bransom does
"
"Hard cases make bad law
","hard braces make bad law
","hard bases make bad law
"
"Hard work never did anyone any harm
","hard sturc never did anyone any harm
","hard berch never did anyone any harm
"
"Haste makes waste
","laced makes waste
","aist makes waste
"
"He that goes a-borrowing, goes a-sorrowing
","he that goes a-borrowing, goes a-sorrowing
","he that goes a-borrowing, goes a-sorrowing
"
"He who can does, he who cannot, teaches
","he who can does, he who cannot, impeaches
","he who can does, he who cannot, beaches
"
"He who fights and runs away, may live to fight another day
","he who fights and runs away, may live to fight another delray
","he who fights and runs away, may live to fight another a.
"
"He who hesitates is lost
","he who hesitates is exhaust
","he who hesitates is embossed
"
"He who laughs last laughs longest
","he who half's last half's longest
","he who crafts last crafts longest
"
"He who lives by the sword shall die by the sword
","he who lives by the foard shall die by the foard
","he who lives by the accord shall die by the accord
"
"He who pays the piper calls the tune
","he who pays the sniper calls the tune
","he who pays the dekuyper calls the tune
"
"He who sups with the Devil should have a long spoon
","he who sups with the multilevel should have a long spoon
","he who sups with the bedevil should have a long spoon
"
"Hell hath no fury like a woman scorned
","rozelle hath no fury like a woman scorned
","accel hath no fury like a woman scorned
"
"Hindsight is always twenty-twenty
","overflight is always twenty-twenty
","acolyte is always twenty-twenty
"
"History repeats itself
","mystery repeats itself
","mystery repeats itself
"
"Home is where the heart is
","velodrome is where the heart is
","bloem is where the heart is
"
"Honesty is the best policy
","dishonesty is the best policy
","dishonesty is the best policy
"
"Hope springs eternal
","cope springs eternal
","bronchoscope springs eternal
"
"Horses for courses
","sources' for courses
","courses for courses
"
"If anything can go wrong, it will
","if worshiping can go wrong, it will
","if everything can go wrong, it will
"
"If a job is worth doing it is worth doing well
","if a dob is worth doing it is worth doing well
","if a baab is worth doing it is worth doing well
"
"If at first you don't succeed try, try and try again
","if at first you don't succeed try, try and try lehn
","if at first you don't succeed try, try and try then
"
"If God had meant us to fly he'd have given us wings
","if god had meant us to fly he'd have given us sings
","if god had meant us to fly he'd have given us brings
"
"If ifs and ands were pots and pans there'd be no work for tinkers
","if ziff's and ands were pots and pans there'd be no work for tinkers
","if cliffs and ands were pots and pans there'd be no work for tinkers
"
"If it ain't broke, don't fix it
","if britt ain't broke, don't fix britt
","if writ ain't broke, don't fix writ
"
"If life deals you lemons, make lemonade
","if strife deals you lemons, make lemonade
","if fife deals you lemons, make lemonade
"
"If the cap fits, wear it
","if the giap fits, wear it
","if the app fits, wear it
"
"If the mountain won't come to Mohammed, then Mohammed must go to the mountain
","if the fountain won't come to mohammed, then mohammed must go to the fountain
","if the fountain won't come to mohammed, then mohammed must go to the fountain
"
"If the shoe fits, wear it
","if the reto fits, wear it
","if the abou fits, wear it
"
"If wishes were horses, beggars would ride
","if tisch's were horses, beggars would ride
","if dishes were horses, beggars would ride
"
"If you build it they will come
","if you build it they will strum
","if you build it they will yum
"
"If you can't be good, be careful
","if you can't be good, be prayerful
","if you can't be good, be prayerful
"
"If you can't beat em, join em
","if you can't beat gemme, join gemme
","if you can't beat alem, join alem
"
"If you can't stand the heat get out of the kitchen
","if you can't stand the shumeet get out of the kitchen
","if you can't stand the amit get out of the kitchen
"
"If you lie down with dogs, you will get up with fleas
","if you lie down with bogs, you will get up with fleas
","if you lie down with bogs, you will get up with fleas
"
"If you pay peanuts, you get monkeys
","if you pay peanuts, you get monkeys
","if you pay peanuts, you get monkeys
"
"If you want a thing done well, do it yourself
","if you want a pring done well, do it yourself
","if you want a chang-ming done well, do it yourself
"
"Ignorance is bliss
","ignorance is bliss
","ignorance is bliss
"
"Imitation is the sincerest form of flattery
","pacification is the sincerest form of flattery
","abbreviation is the sincerest form of flattery
"
"In for a penny, in for a pound
","in for a henie, in for a pound
","in for a ankeney, in for a pound
"
"In the kingdom of the blind the one eyed man is king
","in the subkingdom of the blind the one eyed man is king
","in the subkingdom of the blind the one eyed man is king
"
"In the midst of life we are in death
","in the amidst of life we are in death
","in the amidst of life we are in death
"
"Into every life a little rain must fall
","into every strife a little rain must fall
","into every fife a little rain must fall
"
"It ain't over till the fat lady sings
","it ain't over till the fat eydie sings
","it ain't over till the fat adey sings
"
"It goes without saying
","it goes without obeying
","it goes without allaying
"
"It is best to be on the safe side
","it is best to be on the safe guide
","it is best to be on the safe alongside
"
"It is better to give than to receive
","it is better to give than to steve
","it is better to give than to yves
"
"It is easy to be wise after the event
","it is easy to be wise after the present
","it is easy to be wise after the accent
"
"It never rains but it pours
","it never rains but it guarantors
","it never rains but it zorz
"
"It takes a thief to catch a thief
","it takes a okeefe to catch a okeefe
","it takes a beef to catch a beef
"
"It takes all sorts to make a world
","it takes all thwarts to make a world
","it takes all aborts to make a world
"
"It takes one to know one
","it takes grun to know grun
","it takes outrun to know outrun
"
"It takes two to tango
","it takes two to dango
","it takes two to venango
"
"It's all grist to the mill
","it's all dismissed to the mill
","it's all baptiste to the mill
"
"It's an ill wind that blows no one any good
","it's an ill unconfined that blows no one any good
","it's an ill bind that blows no one any good
"
"It's better to give than to receive
","it's better to give than to relieve
","it's better to give than to yves
"
"It's better to have loved and lost than never to have loved at all
","it's better to have loved and lost than never to have loved at forestall
","it's better to have loved and lost than never to have loved at engwall
"
"It's better to light a candle than curse the darkness
","it's better to light a bandel than curse the darkness
","it's better to light a andel than curse the darkness
"
"It's better to travel hopefully than to arrive
","it's better to travel hopefully than to dr
","it's better to travel hopefully than to vive
"
"It's never too late
","it's never too abate
","it's never too fete
"
"It's no use crying over spilt milk
","it's no doose crying over spilt milk
","it's no abstruse crying over spilt milk
"
"It's no use locking the stable door after the horse has bolted
","it's no moose locking the stable door after the horse has bolted
","it's no abstruse locking the stable door after the horse has bolted
"
"It's the early bird that catches the worm
","it's the early byrd that catches the worm
","it's the early byrd that catches the worm
"
"It's the empty can that makes the most noise
","it's the empty can that makes the most aloys
","it's the empty can that makes the most boy's
"
"It's the singer not the song
","it's the slinger not the song
","it's the clinger not the song
"
"It's the squeaky wheel that gets the grease
","it's the squeaky riel that gets the grease
","it's the squeaky appeal that gets the grease
"
"Jack of all trades, master of none
","shack of all trades, master of none
","ack of all trades, master of none
"
"Judge not, that ye be not judged
","adjudge not, that ye be not adjudged
","adjudge not, that ye be not adjudged
"
"Keep your chin up
","keep your lin up
","keep your adin up
"
"Keep your friends close and your enemies closer
","keep your friends' close and your enemies closer
","keep your amends close and your enemies closer
"
"Keep your powder dry
","keep your lauder dry
","keep your bauder dry
"
"Laugh and the world laughs with you, weep and you weep alone
","fraph and the world fraphs with you, weep and you weep alone
","behalf and the world behalfs with you, weep and you weep alone
"
"Laughter is the best medicine
","thereafter is the best medicine
","drafter is the best medicine
"
"Least said, soonest mended
","ceased said, soonest mended
","bankeast said, soonest mended
"
"Less is more
","less is oar
","less is labore
"
"Let bygones be bygones
","let schiferon's be schiferon's
","let coupons be coupons
"
"Let not the sun go down on your wrath
","let not the rerun go down on your wrath
","let not the aslan go down on your wrath
"
"Let sleeping dogs lie
","let sleeping jogs lie
","let sleeping bogs lie
"
"Let the buyer beware
","let the dreier beware
","let the attire beware
"
"Let the dead bury the dead
","let the dead arie the dead
","let the dead aerie the dead
"
"Let the punishment fit the crime
","let the punishment fit the crime
","let the punishment fit the crime
"
"Let well alone
","let well cologne
","let well zone
"
"Life begins at forty
","streiff begins at forty
","fife begins at forty
"
"Life is just a bowl of cherries
","strife is just a bowl of cherries
","fife is just a bowl of cherries
"
"Life is what you make it
","fife is what you make it
","fife is what you make it
"
"Life's not all beer and skittles
","fyffe's not all beer and skittles
","fife's not all beer and skittles
"
"Lightning never strikes twice in the same place
","lightning never vikes twice in the same place
","lightning never alikes twice in the same place
"
"Like father, like son
","like father, like luhn
","like father, like aslan
"
"Little pitchers have big ears
","little switchers have big ears
","little switchers have big ears
"
"Little strokes fell great oaks
","little soaks fell great oaks
","little blokes fell great oaks
"
"Little things please little minds
","little springs please little minds
","little brings please little minds
"
"Live and learn
","live and urn
","live and zurn
"
"Live for today for tomorrow never comes
","clyve for today for tomorrow never comes
","dive for today for tomorrow never comes
"
"Look before you leap
","chinook before you leap
","betook before you leap
"
"Love of money is the root of all evil
","vanhove of money is the root of all evil
","belove of money is the root of all evil
"
"Love is blind
","thereof is blind
","belove is blind
"
"Love makes the world go round
","gov makes the world go round
","belove makes the world go round
"
"Love thy neighbour as thyself
","love thy naber as thyself
","love thy baber as thyself
"
"Love will find a way
","belove will find a way
","belove will find a way
"
"Make hay while the sun shines
","make antigay while the sun shines
","make a. while the sun shines
"
"Make love not war
","make vanhove not war
","make belove not war
"
"Man does not live by bread alone
","dyan does not live by bread alone
","ane does not live by bread alone
"
"Manners maketh man
","enchanter's maketh man
","banners maketh man
"
"Many a little makes a mickle
","many a little makes a nicholl
","many a little makes a bickel
"
"Many a mickle makes a muckle
","many a mickle makes a huckle
","many a mickle makes a buckel
"
