proverbs578,proverbs578_modified_criteria_0,proverbs578_modified_criteria_1
"Behind every great man there's a great woman
","behind every great man there's a great trueman
","behind every great man there's a great trueman
"
"Better late than never
","better late than trevor
","better late than bever
"
"Better safe than sorry
","better safe than lipari
","better safe than abare
"
"Better the Devil you know than the Devil you don't
","better the evel you know than the evel you don't
","better the bedevil you know than the bedevil you don't
"
"Better to have loved and lost than never to have loved at all
","better to have loved and lost than never to have loved at hall
","better to have loved and lost than never to have loved at engwall
"
"Better to light a candle than to curse the darkness
","better to light a candle than to curse the harkness
","better to light a candle than to curse the harkness
"
"Better to remain silent and be thought a fool that to speak and remove all doubt
","better to remain silent and be thought a fool that to speak and remove all gout
","better to remain silent and be thought a fool that to speak and remove all all-out
"
"Beware of Greeks bearing gifts
","beware of leaks bearing gifts
","beware of antiques bearing gifts
"
"Beware the Ides of March
","beware the ides of arch
","beware the ides of arch
"
"Big fish eat little fish
","big fish st. little fish
","big fish amit little fish
"
"Birds of a feather flock together
","birds of a leather flock together
","birds of a get-together flock together
"
"Blessed are the peacemakers
","blessed are the matchmakers
","blessed are the automakers
"
"Blood is thicker than water
","blood is thicker than boughter
","blood is thicker than boughter
"
"Blue are the hills that are far away
","blue are the drills that are far away
","blue are the billes that are far away
"
"Boys will be boys
","mccoys will be mccoys
","aloys will be aloys
"
"Brevity is the soul of wit
","brevity is the proehl of wit
","brevity is the abrol of wit
"
"Business before pleasure
","business before leisure
","business before displeasure
"
"Caesar's wife must be above suspicion
","caesar's fyfe must be above suspicion
","caesar's fife must be above suspicion
"
"Carpe diem (Pluck the day; Seize the day)
","carpe scheme (pluck the day; seize the day)
","carpe agleam (pluck the day; seize the day)
"
"Charity begins at home
","charity begins at rome
","charity begins at bloem
"
"Charity covers a multitude of sins
","charity covers a exactitude of sins
","charity covers a altitude of sins
"
"Cheaters never win and winners never cheat
","cheaters never win and printer's never cheat
","cheaters never win and beginners never cheat
"
"Cheats never prosper
","deletes never prosper
","backseats never prosper
"
"Children and fools tell the truth
","children and rauls tell the truth
","children and cools tell the truth
"
"Children should be seen and not heard
","stepchildren should be seen and not heard
","stepchildren should be seen and not heard
"
"Christmas comes but once a year
","christmas comes but once a zamfir
","christmas comes but once a amir
"
"Cleanliness is next to godliness
","cleanliness is next to godliness
","cleanliness is next to godliness
"
"Clothes maketh the man
","clothes maketh the mahn
","clothes maketh the ane
"
"Cold hands, warm heart
","cold hands, warm hardt
","cold hands, warm bossart
"
"Comparisons are odious
","saracens are odious
","saracens are odious
"
"Count your blessings
","count your dressings
","count your dressings
"
"Cowards may die many times before their death
","cowards may die many prime's before their death
","cowards may die many chimes before their death
"
"Crime doesn't pay
","heim doesn't pay
","anticrime doesn't pay
"
"Cut your coat to suit your cloth
","cut your coat to suit your lauth
","cut your coat to suit your fauth
"
"Dead men tell no tales
","dead men tell no derails
","dead men tell no abimaels
"
"Devil take the hindmost
","devil take the hindmost
","devil take the hindmost
"
"Discretion is the better part of valour
","discretion is the better mart of valour
","discretion is the better bossart of valour
"
"Distance lends enchantment to the view
","distance lends enchantment to the chiu
","distance lends enchantment to the abou
"
"Do as I say, not as I do
","do as semidry say, not as semidry do
","do as nye say, not as nye do
"
"Do as you would be done by
","do as you would be done tokai
","do as you would be done bye
"
"Do unto others as you would have them do to you
","do unto mothers as you would have them do to you
","do unto brothers as you would have them do to you
"
"Don't bite the hand that feeds you
","don't bite the strande that feeds you
","don't bite the band that feeds you
"
"Don't burn your bridges behind you
","don't burn your ridges behind you
","don't burn your abridges behind you
"
"Don't cast your pearls before swine
","don't cast your pearls before supine
","don't cast your pearls before align
"
"Don't change horses in midstream
","don't change horses in longerbeam
","don't change horses in bireme
"
"Don't count your chickens before they are hatched
","don't count your pickens' before they are hatched
","don't count your hichens before they are hatched
"
"Don't cross the bridge till you come to it
","don't cross the bridge until you come to it
","don't cross the bridge abril you come to it
"
"Don't cut off your nose to spite your face
","don't cut off your nose to spite your }close-brace
","don't cut off your nose to spite your ace
"
"Don't get mad, get even
","don't get mad, get beavin
","don't get mad, get beavin
"
"Don't keep a dog and bark yourself
","don't keep a dog and sark yourself
","don't keep a dog and arc yourself
"
"Don't leave your manners on the doorstep
","don't leave your manners on the menatep
","don't leave your manners on the footstep
"
"Don't let the bastards grind you down
","don't let the bastard's grind you down
","don't let the bastard's grind you down
"
"Don't let the cat out of the bag
","don't let the cat out of the lag
","don't let the cat out of the ag
"
"Don't let the grass grow under your feet
","don't let the grass trudeau under your feet
","don't let the grass aglo under your feet
"
"Don't meet troubles half-way
","don't meet doubles half-way
","don't meet bubbles half-way
"
"Don't mix business with pleasure
","don't mix business with leisure
","don't mix business with displeasure
"
"Don't put all your eggs in one basket
","don't put all your eggs in one gasket
","don't put all your eggs in one casket
"
"Don't put the cart before the horse
","don't put the cart before the corse
","don't put the cart before the borse
"
"Don't put new wine into old bottles
","don't put new wine into old throttles
","don't put new wine into old throttles
"
"Don't rock the boat
","don't rock the throat
","don't rock the afloat
"
"Don't shoot the messenger
","don't shoot the messenger
","don't shoot the messenger
"
"Don't spoil the ship for a ha'porth of tar
","don't spoil the ship for a ha'porth of tar
","don't spoil the ship for a ha'porth of tar
"
"Don't sweat the small stuff
","don't sweat the small slough
","don't sweat the small acuff
"
"Don't throw pearls to swine
","don't throw whorls to swine
","don't throw berles to swine
"
"Don't teach your Grandma to suck eggs
","don't teach your grandma to suck pegs
","don't teach your grandma to suck beggs
"
"Don't throw the baby out with the bathwater
","don't throw the baby out with the bathwater
","don't throw the baby out with the bathwater
"
"Don't trust anyone over thirty
","don't trust anyone over timpani
","don't trust anyone over ability
"
"Don't try to run before you can walk
","don't try to run before you can hawke
","don't try to run before you can zwack
"
"Don't try to walk before you can crawl
","don't try to walk before you can metall
","don't try to walk before you can haul
"
"Don't upset the apple-cart
","don't upset the apple-cart
","don't upset the apple-cart
"
"Don't wash your dirty linen in public
","don't wash your dirty kinnan in public
","don't wash your dirty chinen in public
"
"Doubt is the beginning not the end of wisdom
","doubt is the beginning not the relend of wisdom
","doubt is the beginning not the backend of wisdom
"
"Early to bed and early to rise, makes a man healthy, wealthy and wise
","early to bed and early to rise, makes a yahn healthy, wealthy and wise
","early to bed and early to rise, makes a ane healthy, wealthy and wise
"
"East is east, and west is west
","dupriest is dupriest, and west is west
","bankeast is bankeast, and west is west
"
"East, west, home's best
","east, retest, home's best
","east, arrest, home's best
"
"Easy come, easy go
","easy numb, easy go
","easy alum, easy go
"
"Eat, drink and be merry, for tomorrow we die
","eat, linke and be merry, for tomorrow we die
","eat, bink and be merry, for tomorrow we die
"
"Empty vessels make the most noise
","empty wessells make the most noise
","empty decelles make the most noise
"
"Enough is as good as a feast
","enough is as good as a pieced
","enough is as good as a bankeast
"
"Enough is enough
","shuff is shuff
","acuff is acuff
"
"Even a worm will turn
","even a squirm will turn
","even a berm will turn
"
"Every cloud has a silver lining
","every cloud has a quicksilver lining
","every cloud has a quiksilver lining
"
"Every dog has its day
","every dog has its societe
","every dog has its a.
"
"Every little helps
","every little phelps
","every little felps
"
"Every man for himself, and the Devil take the hindmost
","every man for himself, and the bedevil take the hindmost
","every man for himself, and the revel take the hindmost
"
"Every man has his price
","every man has his kleiss
","every man has his advice
"
"Every picture tells a story
","every picture tells a salvatore
","every picture tells a apriori
"
"Every stick has two ends
","every stick has two attends
","every stick has two amends
"
"Everyone wants to go to heaven but nobody wants to die
","everyone wants to go to heaven but ishibashi wants to die
","everyone wants to go to heaven but ability wants to die
"
"Everything comes to him who waits
","hamstring comes to him who waits
","anything comes to him who waits
"
"Failing to plan is planning to fail
","failing to gaudin is gaudinning to fail
","failing to ane is anening to fail
"
"Faint heart never won fair lady
","faint heart never won fair dady
","faint heart never won fair adey
"
"Fair exchange is no robbery
","fair exchange is no snobbery
","fair exchange is no snobbery
"
"Faith will move mountains
","faith will move mountain's
","faith will move fountains
"
"Familiarity breeds contempt
","familiarity eades contempt
","familiarity accedes contempt
"
"Feed a cold and starve a fever
","feed a cold and starve a seever
","feed a cold and starve a cleaver
"
"Fight fire with fire
","fight flier with flier
","fight attire with attire
"
"Fight the good fight
","riunite the good riunite
","beit the good beit
"
"Finders keepers, losers weepers
","finders sweepers, losers weepers
","finders beepers, losers weepers
"
"Fine words butter no parsnips
","fine words putter no parsnips
","fine words clutter no parsnips
"
"First come, first served
","first come, first unpreserved
","first come, first curved
"
"First impressions are the most lasting
","first repressions are the most lasting
","first aggressions are the most lasting
"
"First things first
","first slings first
","first brings first
"
"Fish always stink from the head down
","fish always stink from the shed down
","fish always stink from the behead down
"
"Fish and guests smell after three days
","fish and digests smell after three days
","fish and arrests smell after three days
"
"Flattery will get you nowhere
","hattery will get you nowhere
","battery will get you nowhere
"
"Fools rush in where angels fear to tread
","fools thrush in where angels fear to tread
","fools blush in where angels fear to tread
"
"For everything there is a season
","for everything there is a gleeson
","for everything there is a beason
"
"For want of a nail the shoe was lost; for want of a shoe the horse was lost; and for want of a horse the man was lost
","for want of a stale the shoe was lost; for want of a shoe the horse was lost; and for want of a horse the man was lost
","for want of a ail the shoe was lost; for want of a shoe the horse was lost; and for want of a horse the man was lost
"
"Forewarned is forearmed
","forewarned is forearmed
","forewarned is forearmed
"
"Forgive and forget
","forgive and jet
","forgive and yvette
"
"Fortune favours the brave
","fortune favours the quave
","fortune favours the aftershave
"
"From the sublime to the ridiculous is only one step
","from the sublime to the meticulous is only one step
","from the sublime to the meticulous is only one step
"
"Genius is an infinite capacity for taking pains
","genius is an infinite opacity for taking pains
","genius is an infinite audacity for taking pains
"
"Genius is one percent inspiration, ninety-nine percent perspiration
","genius is one underwent inspiration, ninety-nine underwent perspiration
","genius is one accent inspiration, ninety-nine accent perspiration
"
"Give a man a fish and you will feed him for a day...
","give a man a fish and you will feed him for a jonbenet...
","give a man a fish and you will feed him for a a....
"
"Give a dog a bad name and hang him
","give a dog a bad acclaim and hang him
","give a dog a bad acclaim and hang him
"
"Give a man enough rope and he will hang himself
","give a man enough kope and he will hang himself
","give a man enough bronchoscope and he will hang himself
"
"Give credit where credit is due
","give edit where edit is due
","give discredit where discredit is due
"
"Give the Devil his due
","give the bevil his due
","give the bedevil his due
"
"Go the extra mile
","go the extra compile
","go the extra aisle
"
"God helps those who help themselves
","bershad helps those who help themselves
","awad helps those who help themselves
"
"Good fences make good neighbours
","good fences make good neighbours'
","good fences make good babers
"
"Good talk saves the food
","good talk saves the stude
","good talk saves the abood
"
"Good things come in small packages
","good things come in small packages
","good things come in small packages
"
"Good things come to those who wait
","good pings come to those who wait
","good brings come to those who wait
"
"Great minds think alike
","great winds think alike
","great behinds think alike
"
"Half a loaf is better than no bread
","half a sroufe is better than no bread
","half a houff is better than no bread
"
"Handsome is as handsome does
","hansom is as hansom does
","bransom is as bransom does
"
"Hard cases make bad law
","hard cases make bad loblaw
","hard cases make bad aw
"
"Hard work never did anyone any harm
","hard work never did cableone any harm
","hard work never did blowgun any harm
"
"Haste makes waste
","haste makes raced
","haste makes aist
"
"He that goes a-borrowing, goes a-sorrowing
","he that goes a-borrowing, goes a-sorrowing
","he that goes a-borrowing, goes a-sorrowing
"
"He who can does, he who cannot, teaches
","he who can does, he who cannot, reaches
","he who can does, he who cannot, beaches
"
"He who fights and runs away, may live to fight another day
","he who fights and runs away, may live to fight another lait
","he who fights and runs away, may live to fight another a.
"
"He who hesitates is lost
","he who hesitates is yoest
","he who hesitates is embossed
"
"He who laughs last laughs longest
","he who staffs last staffs longest
","he who crafts last crafts longest
"
"He who lives by the sword shall die by the sword
","he who lives by the pored shall die by the pored
","he who lives by the accord shall die by the accord
"
"He who pays the piper calls the tune
","he who pays the piper calls the hewn
","he who pays the piper calls the afternoon
"
"He who sups with the Devil should have a long spoon
","he who sups with the devil should have a long cocoon
","he who sups with the devil should have a long afternoon
"
"Hell hath no fury like a woman scorned
","hell hath no youri like a woman scorned
","hell hath no arcuri like a woman scorned
"
"Hindsight is always twenty-twenty
","skylite is always twenty-twenty
","acolyte is always twenty-twenty
"
"History repeats itself
","history eats itself
","history backseats itself
"
"Home is where the heart is
","home is where the kabart is
","home is where the bossart is
"
"Honesty is the best policy
","honesty is the best policy
","honesty is the best policy
"
"Hope springs eternal
","hope strings eternal
","hope brings eternal
"
"Horses for courses
","horses for horses
","horses for horses
"
"If anything can go wrong, it will
","if forewing can go wrong, it will
","if everything can go wrong, it will
"
"If a job is worth doing it is worth doing well
","if a prob is worth doing it is worth doing well
","if a baab is worth doing it is worth doing well
"
"If at first you don't succeed try, try and try again
","if at first you don't succeed try, try and try lehne
","if at first you don't succeed try, try and try then
"
"If God had meant us to fly he'd have given us wings
","if god had meant us to fly he'd have given us sting's
","if god had meant us to fly he'd have given us brings
"
"If ifs and ands were pots and pans there'd be no work for tinkers
","if ifs and rand's were pots and pans there'd be no work for tinkers
","if ifs and brandes were pots and pans there'd be no work for tinkers
"
"If it ain't broke, don't fix it
","if douthit ain't broke, don't fix douthit
","if writ ain't broke, don't fix writ
"
"If life deals you lemons, make lemonade
","if life seal's you lemons, make lemonade
","if life appeals you lemons, make lemonade
"
"If the cap fits, wear it
","if the cap fritts, wear it
","if the cap acquits, wear it
"
"If the mountain won't come to Mohammed, then Mohammed must go to the mountain
","if the fountain won't come to mohammed, then mohammed must go to the fountain
","if the fountain won't come to mohammed, then mohammed must go to the fountain
"
"If the shoe fits, wear it
","if the shoe it's, wear it
","if the shoe acquits, wear it
"
"If wishes were horses, beggars would ride
","if wishes were horse's, beggars would ride
","if wishes were courses, beggars would ride
"
"If you build it they will come
","if you build it they will drumm
","if you build it they will yum
"
"If you can't be good, be careful
","if you can't be good, be prayerful
","if you can't be good, be prayerful
"
"If you can't beat em, join em
","if you can't beat hem, join hem
","if you can't beat alem, join alem
"
"If you can't stand the heat get out of the kitchen
","if you can't stand the heat get out of the mcmichen
","if you can't stand the heat get out of the cichon
"
"If you lie down with dogs, you will get up with fleas
","if you lie down with dogs, you will get up with disease
","if you lie down with dogs, you will get up with )un-parentheses
"
"If you pay peanuts, you get monkeys
","if you pay peanuts, you get junkies
","if you pay peanuts, you get junkies
"
"If you want a thing done well, do it yourself
","if you want a ling done well, do it yourself
","if you want a chang-ming done well, do it yourself
"
"Ignorance is bliss
","ignorance is bliss
","ignorance is bliss
"
"Imitation is the sincerest form of flattery
","imitation is the sincerest transform of flattery
","imitation is the sincerest conform of flattery
"
"In for a penny, in for a pound
","in for a penny, in for a resound
","in for a penny, in for a abound
"
"In the kingdom of the blind the one eyed man is king
","in the kingdom of the unconfined the one eyed man is king
","in the kingdom of the bind the one eyed man is king
"
"In the midst of life we are in death
","in the midst of rife we are in death
","in the midst of fife we are in death
"
"Into every life a little rain must fall
","into every life a little lafontaine must fall
","into every life a little aine must fall
"
"It ain't over till the fat lady sings
","it ain't over till the fat lady pings
","it ain't over till the fat lady brings
"
"It goes without saying
","it goes without swaying
","it goes without allaying
"
"It is best to be on the safe side
","it is best to be on the safe deride
","it is best to be on the safe alongside
"
"It is better to give than to receive
","it is better to give than to scheve
","it is better to give than to yves
"
"It is easy to be wise after the event
","it is easy to be wise after the extent
","it is easy to be wise after the accent
"
"It never rains but it pours
","it never rains but it yours
","it never rains but it zorz
"
"It takes a thief to catch a thief
","it takes a okeeffe to catch a okeeffe
","it takes a beef to catch a beef
"
"It takes all sorts to make a world
","it takes all sorts to make a unfurled
","it takes all sorts to make a neworld
"
"It takes one to know one
","it takes brunn to know brunn
","it takes outrun to know outrun
"
"It takes two to tango
","it takes two to durango
","it takes two to venango
"
"It's all grist to the mill
","it's all grist to the we'll
","it's all grist to the abril
"
"It's an ill wind that blows no one any good
","it's an ill wind that blows no luhn any good
","it's an ill wind that blows no aslan any good
"
"It's better to give than to receive
","it's better to give than to relieve
","it's better to give than to yves
"
"It's better to have loved and lost than never to have loved at all
","it's better to have loved and lost than never to have loved at maul
","it's better to have loved and lost than never to have loved at engwall
"
"It's better to light a candle than curse the darkness
","it's better to light a candle than curse the harkness
","it's better to light a candle than curse the harkness
"
"It's better to travel hopefully than to arrive
","it's better to travel hopefully than to alive
","it's better to travel hopefully than to vive
"
"It's never too late
","it's never too dictate
","it's never too fete
"
"It's no use crying over spilt milk
","it's no use crying over spilt silk
","it's no use crying over spilt bilk
"
"It's no use locking the stable door after the horse has bolted
","it's no use locking the stable warr after the horse has bolted
","it's no use locking the stable abhor after the horse has bolted
"
"It's the early bird that catches the worm
","it's the early bird that catches the germ
","it's the early bird that catches the berm
"
"It's the empty can that makes the most noise
","it's the empty can that makes the most roy's
","it's the empty can that makes the most boy's
"
"It's the singer not the song
","it's the singer not the yearlong
","it's the singer not the chong
"
"It's the squeaky wheel that gets the grease
","it's the squeaky wheel that gets the reece
","it's the squeaky wheel that gets the bbc's
"
"Jack of all trades, master of none
","jack of all tirades, master of none
","jack of all ades, master of none
"
"Judge not, that ye be not judged
","mudge not, that ye be not mudged
","adjudge not, that ye be not adjudged
"
"Keep your chin up
","keep your chagrin up
","keep your adin up
"
"Keep your friends close and your enemies closer
","keep your friends close and your enemies' closer
","keep your friends close and your enemy's closer
"
"Keep your powder dry
","keep your powder bi
","keep your powder ai
"
"Laugh and the world laughs with you, weep and you weep alone
","laugh and the whirled laughs with you, weep and you weep alone
","laugh and the neworld laughs with you, weep and you weep alone
"
"Laughter is the best medicine
","laughter is the best genemedicine
","laughter is the best genemedicine
"
"Least said, soonest mended
","fleeced said, soonest mended
","bankeast said, soonest mended
"
"Less is more
","less is corr
","less is labore
"
"Let bygones be bygones
","let cabletron's be cabletron's
","let coupons be coupons
"
"Let not the sun go down on your wrath
","let not the sun go down on your pathe
","let not the sun go down on your bath
"
"Let sleeping dogs lie
","let sleeping dogs die
","let sleeping dogs ai
"
"Let the buyer beware
","let the buyer belair
","let the buyer abair
"
"Let the dead bury the dead
","let the dead oteri the dead
","let the dead aerie the dead
"
"Let the punishment fit the crime
","let the punishment fit the i'm
","let the punishment fit the anticrime
"
"Let well alone
","let well catone
","let well zone
"
"Life begins at forty
","life begins at corti
","life begins at conforti
"
"Life is just a bowl of cherries
","life is just a doell of cherries
","life is just a abrol of cherries
"
"Life is what you make it
","slife is what you make it
","fife is what you make it
"
"Life's not all beer and skittles
","life's not all safier and skittles
","life's not all amir and skittles
"
"Lightning never strikes twice in the same place
","lightning never strikes twice in the same embrace
","lightning never strikes twice in the same ace
"
"Like father, like son
","like father, like hunn
","like father, like aslan
"
"Little pitchers have big ears
","little pitchers have big premieres
","little pitchers have big adheres
"
"Little strokes fell great oaks
","little strokes fell great evokes
","little strokes fell great blokes
"
"Little things please little minds
","little things please little hinds
","little things please little behinds
"
"Live and learn
","live and ahern
","live and zurn
"
"Live for today for tomorrow never comes
","live for mcshea for tomorrow never comes
","live for a. for tomorrow never comes
"
"Look before you leap
","rebook before you leap
","betook before you leap
"
"Love of money is the root of all evil
","love of lunney is the root of all evil
","love of bunney is the root of all evil
"
"Love is blind
","o'glove is blind
","belove is blind
"
"Love makes the world go round
","love makes the whirled go round
","love makes the neworld go round
"
"Love thy neighbour as thyself
","love thy neighbour as ourself
","love thy neighbour as chelf
"
"Love will find a way
","love will find a baye
","love will find a a.
"
"Make hay while the sun shines
","make hay while the brunn shines
","make hay while the aslan shines
"
"Make love not war
","make love not melor
","make love not abhor
"
"Man does not live by bread alone
","man does not live by red alone
","man does not live by behead alone
"
"Manners maketh man
","joanneners maketh joanne
","aneners maketh ane
"
"Many a little makes a mickle
","many a little makes a mcnickle
","many a little makes a bickel
"
"Many a mickle makes a muckle
","many a mickle makes a ruckel
","many a mickle makes a buckel
"
"Many a true word is spoken in jest
","many a true word is spoken in depressed
","many a true word is spoken in arrest
"
