"All publicity is good publicity
","all unobtrusiveness is good unobtrusiveness
","all electricty is good electricty
"
"All roads lead to Rome
","all roads lead to rome
","all roads lead to rome
"
"All that glisters is not gold
","all that glisters is not gold
","all that glisters is not gold
"
"All that glitters is not gold
","all that glitters is not gold
","all that glitters is not gold
"
"All the world loves a lover
","all the paramour loves a hover
","all the paramour loves a cover
"
"All things come to those who wait
","all things come to those who wait
","all things come to those who wait
"
"All things must pass
","all things must pass
","all things must pass
"
"All work and no play makes Jack a dull boy
","all classical_ballet and no ballet makes jack a dull boy
","all classical_ballet and no ballet makes jack a dull boy
"
"All you need is love
","all you need is of
","all you need is love
"
"All's fair in love and war
","all's fair in examine and explore
","all's fair in McChrystal_counterinsurgency and core
"
"All's for the best in the best of all possible worlds
","all's for the best in the best of all possible worlds
","all's for the best in the best of all possible worlds
"
"All's well that ends well
","all's hotel that ends hotel
","all's bell that ends bell
"
"A miss is as good as a mile
","a kilometer is as good as a hostile
","a biles is as good as a bile
"
"An apple a day keeps the doctor away
","an laying a lay keeps the doctor away
","an classical_ballet a ballet keeps the doctor away
"
"An army marches on its stomach
","an     on its stomach
","an     on its stomach
"
"An Englishman's home is his castle
","an domes's dome is his castle
","an domes's dome is his castle
"
"An eye for an eye, a tooth for a tooth
","an tied for an tied, a tooth for a tooth
","an sell for an sell, a tooth for a tooth
"
"An ounce of prevention is worth a pound of cure
","an Retention of retention is worth a pound of cure
","an atten_tion of attention is worth a pound of cure
"
"Another day, another dollar
","another Orpheus_Myth, another scholar
","another collars, another collar
"
"Any port in a storm
","any conforms in a conform
","any conforms in a conform
"
"Appearances can be deceptive
","appearances can be deceptive
","appearances can be deceptive
"
"April is the cruellest month
","april is the cruellest month
","april is the cruellest month
"
"April showers bring forth May flowers
","april south bring north may flowers
","april   bring   may flowers
"
"As thick as thieves
","as trick as  
","as brick as  
"
"As you make your bed, so you must lie upon it
","as you make your red, so you must lie upon it
","as you make your bread, so you must lie upon it
"
"As you sow so shall you reap
","as you sow so shall you heap
","as you sow so shall you keep
"
"Ashes to ashes dust to dust
","  to   dust to dust
","  to   dust to dust
"
"Ask a silly question and you'll get a silly answer
","ask a silly pancreatic_cancer and you'll get a silly cancer
","ask a silly pancreatic_cancer and you'll get a silly cancer
"
"Ask no questions and hear no lies
","ask no suprise and hear no surprise
","ask no   and hear no  
"
"Attack is the best form of defence
","transtransforming is the best transform of defence
","conconformity is the best conform of defence
"
"Bad money drives out good
","bad funny   out good
","bad honey   out good
"
"Bad news travels fast
","bad accuse   fast
","bad abuse   fast
"
"Barking dogs seldom bite
","barking dogs seldom bite
","barking dogs seldom bite
"
"Be careful what you wish for
","be careful what you wish roar
","be careful what you wish before
"
"Beat swords into ploughshares
","toward towards into ploughshares
","toward towards into ploughshares
"
"Beauty is in the eye of the beholder
","rely_heavily is in the rely of the beholder
","sell is in the buy of the beholder
"
"Beauty is only skin deep
","sweeper is only skin sweep
","creeper is only skin creep
"
"Beggars should not be choosers
","beggars should not be choosers
","beggars should not be choosers
"
"Behind every great man there's a great woman
","behind every great plan there's a great woplan
","behind every great ban there's a great woban
"
"Better late than never
","better late than whenever
","better late than clever
"
"Better safe than sorry
","better safe than sorry
","better safe than sorry
"
"Better the Devil you know than the Devil you don't
","better the levels you know than the levels you don't
","better the levels you know than the levels you don't
"
"Better to have loved and lost than never to have loved at all
","better to have loved and lost than never to have loved at small
","better to have loved and lost than never to have loved at all
"
"Better to light a candle than to curse the darkness
","better to light a scandal than to curse the  
","better to light a scandal than to curse the  
"
"Better to remain silent and be thought a fool that to speak and remove all doubt
","better to remain silent and be thought a shouts that to speak and remove all shout
","better to remain silent and be thought a routes that to speak and remove all route
"
"Beware of Greeks bearing gifts
","rare of   bearing gifts
","affair of   bearing gifts
"
"Beware the Ides of March
","beware the ides of  
","beware the procession of arch
"
"Big fish eat little fish
","big Receipt receipt little Receipt
","big Kluwe_tweets concrete little Kluwe_tweets
"
"Birds of a feather flock together
","suede of a leather flock together
","suede of a leather flock together
"
"Blessed are the peacemakers
","blessed are the peacemakers
","blessed are the peacemakers
"
"Blood is thicker than water
","flood is thicker than  
","stepdaughter is thicker than daughter
"
"Blue are the hills that are far away
","view are the   that are far away
","clue are the   that are far away
"
"Boys will be boys
","  will be  
","  will be  
"
"Brevity is the soul of wit
","entire is the whole of wit
","bowls is the bowl of wit
"
"Business before pleasure
","enjoyment before leisure
","enjoyment before leisure
"
"Caesar's wife must be above suspicion
","husband's life must be above suspicion
","husband's life must be above suspicion
"
"Carpe diem (Pluck the day; Seize the day)
","crème cream (pluck the day; seize the day)
","beams beam (pluck the day; seize the day)
"
"Charity begins at home
","Kasota_stone begins at dome
","Kasota_stone begins at dome
"
"Charity covers a multitude of sins
","myriad covers a magnitude of sins
","myriad covers a attitude of sins
"
"Cheaters never win and winners never cheat
","  never win and   never cheat
","  never win and   never cheat
"
"Cheats never prosper
","cheats never prosper
","cheats never prosper
"
"Children and fools tell the truth
","  and   tell the truth
","  and   tell the truth
"
"Children should be seen and not heard
","children should be seen and not heard
","children should be seen and not heard
"
"Christmas comes but once a year
","month comes but once a peer
","beers comes but once a beer
"
"Cleanliness is next to godliness
","cleanliness is next to godliness
","cleanliness is next to godliness
"
"Clothes maketh the man
","bans maketh the ban
","bans maketh the ban
"
"Cold hands, warm heart
","cold myocardial_infarct, warm apart
","cold carts, warm cart
"
"Comparisons are odious
","comparisons are odious
","comparisons are odious
"
"Count your blessings
","count your blessings
","count your blessings
"
"Cowards may die many times before their death
","often may die many sometimes before their death
","  may die many   before their death
"
"Crime doesn't pay
","time doesn't pay
","climb doesn't pay
"
"Cut your coat to suit your cloth
","cut your quote to suit your  
","cut your boat to suit your  
"
"Dead men tell no tales
","dead pen tell no  
","dead   tell no  
"
"Devil take the hindmost
","devil take the hindmost
","devil take the hindmost
"
"Discretion is the better part of valour
","charts is the better chart of valour
","carts is the better cart of valour
"
"Distance lends enchantment to the view
","revisit lends enchantment to the renew
","clues lends enchantment to the clue
"
"Do as I say, not as I do
","do as eyes say, not as eyes do
","do as   say, not as   do
"
"Do as you would be done by
","do as you would be done reply
","do as you would be done by
"
"Do unto others as you would have them do to you
","do unto others as you would have them do to you
","do unto others as you would have them do to you
"
"Don't bite the hand that feeds you
","don't bite the understand that feeds you
","don't bite the band that feeds you
"
"Don't burn your bridges behind you
","don't burn your bridges behind you
","don't burn your bridges behind you
"
"Don't cast your pearls before swine
","don't cast your PRRS_virus before design
","don't cast your assigning before assign
"
"Don't change horses in midstream
","don't change Mainstream in mainstream
","don't change Mainstream in mainstream
"
"Don't count your chickens before they are hatched
","don't count your chickens before they are hatched
","don't count your chickens before they are hatched
"
"Don't cross the bridge till you come to it
","don't cross the Drill drill you come to it
","don't cross the legislation bill you come to it
"
"Don't cut off your nose to spite your face
","don't cut off your laced to spite your lace
","don't cut off your facing to spite your base
"
"Don't get mad, get even
","don't get mad, get even
","don't get mad, get even
"
"Don't keep a dog and bark yourself
","don't keep a remarks and remark yourself
","don't keep a Primerica_Citi and arc yourself
"
"Don't leave your manners on the doorstep
","don't leave your footsteps on the footstep
","don't leave your footsteps on the footstep
"
"Don't let the bastards grind you down
","don't let the bastards grind you down
","don't let the bastards grind you down
"
"Don't let the cat out of the bag
","don't let the drags out of the drag
","don't let the flags out of the flag
"
"Don't let the grass grow under your feet
","don't let the high low under your feet
","don't let the shrink bow under your feet
"
"Don't meet troubles half-way
","don't meet troubles half-way
","don't meet troubles half-way
"
"Don't mix business with pleasure
","don't mix treasures with treasure
","don't mix enjoyment with leisure
"
"Don't put all your eggs in one basket
","don't put all your   in one  
","don't put all your   in one  
"
"Don't put the cart before the horse
","don't put the endorsing before the endorse
","don't put the courses before the course
"
"Don't put new wine into old bottles
","don't put new mine into old  
","don't put new assign into old  
"
"Don't rock the boat
","don't rock the throat
","don't rock the coat
"
"Don't shoot the messenger
","don't shoot the messenger
","don't shoot the messenger
"
"Don't spoil the ship for a ha'porth of tar
","don't spoil the ship for a ha'porth of tar
","don't spoil the ship for a ha'porth of tar
"
"Don't sweat the small stuff
","don't sweat the small tough
","don't sweat the small stuff
"
"Don't throw pearls to swine
","don't throw pearls to swine
","don't throw pearls to swine
"
"Don't teach your Grandma to suck eggs
","don't teach your grandma to suck  
","don't teach your grandma to suck  
"
"Don't throw the baby out with the bathwater
","don't throw the baby out with the bathwater
","don't throw the baby out with the bathwater
"
"Don't trust anyone over thirty
","don't trust twenty over petty
","don't trust forty over ability
"
"Don't try to run before you can walk
","don't try to run before you can talk
","don't try to run before you can walk
"
"Don't try to walk before you can crawl
","don't try to walk before you can haul
","don't try to walk before you can haul
"
"Don't upset the apple-cart
","don't upset the apple-cart
","don't upset the apple-cart
"
"Don't wash your dirty linen in public
","don't wash your dirty linen in public
","don't wash your dirty linen in public
"
"Doubt is the beginning not the end of wisdom
","offends is the beginning not the offend of wisdom
","defends is the beginning not the defend of wisdom
"
"Early to bed and early to rise, makes a man healthy, wealthy and wise
","early to motorcyclist and early to rise, makes a van healthy, wealthy and wise
","early to bans and early to rise, makes a ban healthy, wealthy and wise
"
"East is east, and west is west
","beast is beast, and west is west
","beast is beast, and west is west
"
"East, west, home's best
","tests, test, home's best
","arrests, arrest, home's best
"
"Easy come, easy go
","easy drum, easy go
","easy drum, easy go
"
"Eat, drink and be merry, for tomorrow we die
","satin_corset, pink and be merry, for tomorrow we die
","don't_blink, blink and be merry, for tomorrow we die
"
"Empty vessels make the most noise
","empty vessels make the most noise
","empty vessels make the most noise
"
"Enough is as good as a feast
","enough is as good as a priest
","enough is as good as a beast
"
"Enough is enough
","tough is tough
","stuff is stuff
"
"Even a worm will turn
","even a firm will turn
","even a confirm will turn
"
"Every cloud has a silver lining
","every crowd has a   lining
","every   has a   lining
"
"Every dog has its day
","every delayed has its delay
","every classical_ballet has its ballet
"
"Every little helps
","every little helps
","every little helps
"
"Every man for himself, and the Devil take the hindmost
","every levels for himself, and the level take the hindmost
","every ban for himself, and the   take the hindmost
"
"Every man has his price
","every nices has his nice
","every advices has his advice
"
"Every picture tells a story
","every glories tells a glory
","every glories tells a glory
"
"Every stick has two ends
","every pick has two  
","every brick has two  
"
"Everyone wants to go to heaven but nobody wants to die
","rarely wants to go to heaven but occasionally wants to die
","inability wants to go to heaven but ability wants to die
"
"Everything comes to him who waits
","everything comes to him who waits
","everything comes to him who waits
"
"Failing to plan is planning to fail
","failing to fan is fanning to fail
","failing to ban is banning to fail
"
"Faint heart never won fair lady
","faint cart never won fair  
","faint cart never won fair  
"
"Fair exchange is no robbery
","fair arrange is no  
","fair arrange is no  
"
"Faith will move mountains
","  will move  
","  will move  
"
"Familiarity breeds contempt
","clarity   contempt
","clarity   contempt
"
"Feed a cold and starve a fever
","feed a cold and starve a receiver
","feed a cold and starve a receiver
"
"Fight fire with fire
","hiring hire with hire
","buyers buyer with buyer
"
"Fight the good fight
","tight the good tight
","bite the good bite
"
"Finders keepers, losers weepers
","   , losers weepers
","   , losers weepers
"
"Fine words butter no parsnips
","fine saucepan_stirring mutter no parsnips
","fine saucepan_stirring mutter no parsnips
"
"First come, first served
","first come, first served
","first come, first served
"
"First impressions are the most lasting
","first impressions are the most lasting
","first impressions are the most lasting
"
"First things first
","first things first
","first things first
"
"Fish always stink from the head down
","fish always stink from the spread down
","fish always stink from the bread down
"
"Fish and guests smell after three days
","wish and   smell after three days
","  and   smell after three days
"
"Flattery will get you nowhere
","battery will get you nowhere
","battery will get you nowhere
"
"Fools rush in where angels fear to tread
","flammable_bbrush brush in where angels fear to tread
","flammable_bbrush brush in where angels fear to tread
"
"For everything there is a season
","for   there is a  
","for reasons there is a reason
"
"For want of a nail the shoe was lost; for want of a shoe the horse was lost; and for want of a horse the man was lost
","for prevailed of a prevail the shoe was lost; for prevailed of a shoe the horse was lost; and for prevailed of a horse the man was lost
","for Bail of a bail the shoe was lost; for Bail of a shoe the horse was lost; and for Bail of a horse the man was lost
"
"Forewarned is forearmed
","forewarned is forearmed
","forewarned is forearmed
"
"Forgive and forget
","forgive and upset
","forgive and forget
"
"Fortune favours the brave
","caves favours the cave
","misbehave favours the behave
"
"From the sublime to the ridiculous is only one step
","from the   to the   is only one step
","from the climb to the   is only one step
"
"Genius is an infinite capacity for taking pains
","  is an infinite   for taking pains
","  is an infinite   for taking pains
"
"Genius is one percent inspiration, ninety-nine percent perspiration
","% is one content inspiration, ninety-nine content perspiration
","% is one accent inspiration, ninety-nine accent perspiration
"
"Give a man a fish and you will feed him for a day...
","give a claycourt a fish and you will feed him for a clay...
","give a classical_ballet a fish and you will feed him for a ballet...
"
"Give a dog a bad name and hang him
","give a surexclaim a bad exclaim and hang him
","give a objective a bad aim and hang him
"
"Give a man enough rope and he will hang himself
","give a soaps enough soap and he will hang himself
","give a copes enough cope and he will hang himself
"
"Give credit where credit is due
","give WNYC_reserves where WNYC_reserves is due
","give WNYC_reserves where WNYC_reserves is due
"
"Give the Devil his due
","give the level his due
","give the level his due
"
"Go the extra mile
","go the extra style
","go the extra bile
"
"God helps those who help themselves
","facade helps those who help themselves
","facade helps those who help themselves
"
"Good fences make good neighbours
","good   make good  
","good   make good  
"
"Good talk saves the food
","good moods saves the mood
","good concluding saves the conclude
"
"Good things come in small packages
","good things come in small packages
","good things come in small packages
"
"Good things come to those who wait
","good things come to those who wait
","good things come to those who wait
"
"Great minds think alike
","great minds think alike
","great minds think alike
"
"Half a loaf is better than no bread
","calf a   is better than no bread
","behalf a   is better than no bread
"
"Handsome is as handsome does
","  is as   does
","  is as   does
"
"Hard cases make bad law
","hard withdrawing make bad withdraw
","hard cheekbone make bad jaw
"
"Hard work never did anyone any harm
","hard clerk never did   any harm
","hard clerk never did   any harm
"
"Haste makes waste
","  makes  
","tasted makes taste
"
"He that goes a-borrowing, goes a-sorrowing
","he that goes a-borrowing, goes a-sorrowing
","he that goes a-borrowing, goes a-sorrowing
"
"He who can does, he who cannot, teaches
","he who can does, he who cannot, teaches
","he who can does, he who cannot, teaches
"
"He who fights and runs away, may live to fight another day
","he who fights and runs away, may live to fight another say
","he who fights and runs away, may live to fight another ballet
"
"He who hesitates is lost
","he who hesitates is exhaust
","he who hesitates is lost
"
"He who laughs last laughs longest
","he who laughs last laughs longest
","he who laughs last laughs longest
"
"He who lives by the sword shall die by the sword
","he who lives by the records shall die by the records
","he who lives by the pact shall die by the pact
"
"He who pays the piper calls the tune
","he who pays the balloons calls the balloon
","he who pays the morning calls the afternoon
"
"He who sups with the Devil should have a long spoon
","he who sups with the Whisk_egg_whites should have a long tune
","he who sups with the morning should have a long afternoon
"
"Hell hath no fury like a woman scorned
","compel hath no   like a woman scorned
","jurors hath no jury like a woman scorned
"
"Hindsight is always twenty-twenty
","midnight is always twenty-twenty
","highlight is always twenty-twenty
"
"History repeats itself
","mystery   itself
","mystery   itself
"
"Home is where the heart is
","partof is where the part is
","carts is where the cart is
"
"Honesty is the best policy
","honesty is the best policy
","honesty is the best policy
"
"Hope springs eternal
","rope   eternal
","cope   eternal
"
"Horses for courses
","  for  
","  for  
"
"If anything can go wrong, it will
","if anything can go wrong, it will
","if anything can go wrong, it will
"
"If a job is worth doing it is worth doing well
","if a rob is worth doing it is worth doing well
","if a rob is worth doing it is worth doing well
"
"If at first you don't succeed try, try and try again
","if at first you don't succeed try, try and try when
","if at first you don't succeed try, try and try then
"
"If God had meant us to fly he'd have given us wings
","if god had meant us to fly he'd have given us wings
","if god had meant us to fly he'd have given us wings
"
"If ifs and ands were pots and pans there'd be no work for tinkers
","if   and   were pots and pans there'd be no work for tinkers
","if   and   were pots and pans there'd be no work for tinkers
"
"If it ain't broke, don't fix it
","if spit ain't broke, don't fix spit
","if it ain't broke, don't fix it
"
"If life deals you lemons, make lemonade
","if wife   you lemons, make lemonade
","if knife   you lemons, make lemonade
"
"If the cap fits, wear it
","if the lap  , wear it
","if the chap  , wear it
"
"If the mountain won't come to Mohammed, then Mohammed must go to the mountain
","if the fountains won't come to mohammed, then mohammed must go to the fountains
","if the fountains won't come to mohammed, then mohammed must go to the fountains
"
"If the shoe fits, wear it
","if the screw  , wear it
","if the clue  , wear it
"
"If wishes were horses, beggars would ride
","if   were  , beggars would ride
","if   were  , beggars would ride
"
"If you build it they will come
","if you build it they will from
","if you build it they will come
"
"If you can't be good, be careful
","if you can't be good, be careful
","if you can't be good, be careful
"
"If you can't beat em, join em
","if you can't beat condemn, join condemn
","if you can't beat condemn, join condemn
"
"If you can't stand the heat get out of the kitchen
","if you can't stand the wheat get out of the  
","if you can't stand the concrete get out of the  
"
"If you lie down with dogs, you will get up with fleas
","if you lie down with cheddar, you will get up with cheese
","if you lie down with  , you will get up with  
"
"If you pay peanuts, you get monkeys
","if you pay peanuts, you get  
","if you pay peanuts, you get  
"
"If you want a thing done well, do it yourself
","if you want a fling done well, do it yourself
","if you want a spring done well, do it yourself
"
"Ignorance is bliss
","ignorance is bliss
","ignorance is bliss
"
"Imitation is the sincerest form of flattery
","norms is the sincerest norm of flattery
","conforms is the sincerest conform of flattery
"
"In for a penny, in for a pound
","in for a arounder, in for a around
","in for a comcompounds, in for a compound
"
"In the kingdom of the blind the one eyed man is king
","in the reminding of the remind the one eyed man is king
","in the binds of the bind the one eyed man is king
"
"In the midst of life we are in death
","in the husband of wife we are in death
","in the kitchen_knife of knife we are in death
"
"Into every life a little rain must fall
","into every heavy_constrain a little constrain must fall
","into every heavy_ascertain a little ascertain must fall
"
"It ain't over till the fat lady sings
","it ain't over till the fat    
","it ain't over till the fat    
"
"It goes without saying
","it goes without saying
","it goes without saying
"
"It is best to be on the safe side
","it is best to be on the safe applied
","it is best to be on the safe alongside
"
"It is better to give than to receive
","it is better to give than to achieve
","it is better to give than to receive
"
"It is easy to be wise after the event
","it is easy to be wise after the extent
","it is easy to be wise after the accent
"
"It never rains but it pours
","it never rains but it corps
","it never rains but it pours
"
"It takes a thief to catch a thief
","it takes a lengthy to catch a lengthy
","it takes a meat to catch a meat
"
"It takes all sorts to make a world
","it takes all   to make a  
","it takes all   to make a  
"
"It takes one to know one
","it takes sun to know sun
","it takes one to know one
"
"It takes two to tango
","it takes two to tango
","it takes two to tango
"
"It's all grist to the mill
","it's all can to the will
","it's all legislation to the bill
"
"It's an ill wind that blows no one any good
","it's an ill sons that blows no son any good
","it's an ill funnest that blows no fun any good
"
"It's better to give than to receive
","it's better to give than to relieve
","it's better to give than to receive
"
"It's better to have loved and lost than never to have loved at all
","it's better to have loved and lost than never to have loved at crawl
","it's better to have loved and lost than never to have loved at all
"
"It's better to light a candle than curse the darkness
","it's better to light a scandal than curse the  
","it's better to light a scandal than curse the  
"
"It's better to travel hopefully than to arrive
","it's better to travel hopefully than to revive
","it's better to travel hopefully than to arrive
"
"It's never too late
","it's never too wait
","it's never too great
"
"It's no use crying over spilt milk
","it's no dairy crying over spilt silk
","it's no dairy crying over spilt silk
"
"It's no use locking the stable door after the horse has bolted
","it's no drawers locking the stable drawer after the horse has bolted
","it's no cores locking the stable core after the horse has bolted
"
"It's the early bird that catches the worm
","it's the early Schmugar that catches the term
","it's the early confirmed that catches the confirm
"
"It's the empty can that makes the most noise
","it's the empty can that makes the most noise
","it's the empty can that makes the most noise
"
"It's the singer not the song
","it's the Wrong not the wrong
","it's the linger not the  
"
"It's the squeaky wheel that gets the grease
","it's the squeaky Dissident_republicans_opposed that gets the peace
","it's the squeaky ceasing that gets the cease
"
"Jack of all trades, master of none
","pack of all  , master of none
","helps of all aids, master of none
"
"Judge not, that ye be not judged
","judge not, that ye be not judged
","judge not, that ye be not judged
"
"Keep your chin up
","keep your within up
","keep your bin up
"
"Keep your friends close and your enemies closer
","keep your   close and your   closer
","keep your   close and your   closer
"
"Keep your powder dry
","keep your cries cry
","keep your sell buy
"
"Laugh and the world laughs with you, weep and you weep alone
","calf and the   calfs with you, weep and you weep alone
","behalf and the   behalfs with you, weep and you weep alone
"
"Laughter is the best medicine
","thereafter is the best  
","  is the best  
"
"Least said, soonest mended
","feast said, soonest mended
","beast said, soonest mended
"
"Less is more
","less is roar
","less is more
"
"Let bygones be bygones
","let   be  
","let   be  
"
"Let not the sun go down on your wrath
","let not the paths go down on your path
","let not the baths go down on your bath
"
"Let sleeping dogs lie
","let sleeping rely_heavily rely
","let sleeping sell buy
"
"Let the buyer beware
","let the Beware affair
","let the Beware affair
"
"Let the dead bury the dead
","let the dead vary the dead
","let the dead dairy the dead
"
"Let the punishment fit the crime
","let the climbing fit the climb
","let the climbing fit the climb
"
"Let well alone
","let well unknown
","let well alone
"
"Life begins at forty
","knife begins at  
","knife begins at  
"
"Life is just a bowl of cherries
","wholes is just a whole of cherries
","coals is just a coal of cherries
"
"Life is what you make it
","life is what you make it
","knife is what you make it
"
"Life's not all beer and skittles
","microbrewer's not all premier and skittles
","careers's not all career and skittles
"
"Lightning never strikes twice in the same place
","lightning never finish twice in the same pace
","lightning never spot twice in the same base
"
"Like father, like son
","like father, like nun
","like father, like fun
"
"Little pitchers have big ears
","little   have big  
","little   have big  
"
"Little strokes fell great oaks
","little   fell great  
","little   fell great  
"
"Little things please little minds
","little   please little  
","little   please little  
"
"Live and learn
","live and concern
","live and learn
"
"Live for today for tomorrow never comes
","spraying for spray for tomorrow never comes
","classical_ballet for ballet for tomorrow never comes
"
"Look before you leap
","book before you leap
","book before you leap
"
"Love of money is the root of all evil
","funds of honey is the root of all evil
","funds of honey is the root of all evil
"
"Love is blind
","above is blind
","glove is blind
"
"Love makes the world go round
","  makes the   go round
","glove makes the   go round
"
"Love thy neighbour as thyself
","love thy labour as shelf
","love thy   as shelf
"
"Love will find a way
","salmon_spawning_grounds will find a bay
","classical_ballet will find a ballet
"
"Make hay while the sun shines
","make metric_ton while the tonne shines
","make fun_rays while the fun shines
"
"Make love not war
","make ignoring not ignore
","make McChrystal_counterinsurgency not core
"
"Man does not live by bread alone
","spreads does not live by spread alone
","butter does not live by head alone
"
"Manners maketh man
","scans maketh scan
","bans maketh ban
"
"Many a little makes a mickle
","many a little makes a mickle
","many a little makes a mickle
"
"Many a mickle makes a muckle
","many a mickle makes a muckle
","many a mickle makes a muckle
"
"Many a true word is spoken in jest
","many a true abdomen is spoken in chest
","many a true arrests is spoken in arrest
"
"Many are called but few are chosen
","many are called but few are frozen
","many are called but few are chosen
"
"Many hands make light work
","many jerkaholic make light jerk
","many clerks make light clerk
"
"March comes in like a lion, and goes out like a lamb
","ions comes in like a ion, and goes out like a lamb
","ions comes in like a ion, and goes out like a lamb
"
"March winds and April showers bring forth May flowers
","    and april showers bring forth may flowers
","arch   and april showers bring forth may flowers
"
"Marriages are made in heaven
","  are made in  
","  are made in  
"
"Marry in haste, repent at leisure
","waists in waist, repent at leisure
","aftertaste in taste, repent at leisure
"
"Might is right
","might is cite
","might is alright
"
